x2 R U L' U B' M B U' L U' R' M  (12sq) 
x2 R' U R B' U' M U B R' U' R M  (12sq) 
x2 R' M' M' F M F M' F' M' F' R M  (12sq) 
x2 R' F' D M' F M F' M D' F R M  (12sq) 
x2 R' F' D' M' F M F' M D F R M  (12sq) 
L R F M F M' F' M' F' L R M  (12sq) 
x2 L' R' F' M' F M F' M F L R M  (12sq) 
x2 M U' M B M U M' U' M' B' U M  (12sq) 
x2 U' B' L' U B M B' U' L B U M  (12sq) 
x2 M U' M B' M U M' U' M' B U M  (12sq) 
x2 U' R U' L' B M B' L U R' U M  (12sq) 
x2 M' U' F M' U M' M' U' M F' U M  (12sq) 
x2 M' U' F' M' U M' M' U' M F U M  (12sq) 
x2 B M U' M' M' U M' B' U' M' U M  (12sq) 
x2 B' M U' M' M' U M' B U' M' U M  (12sq) 
M D' L' L' R' R' U M' U' M' U M  (12sq) 
x2 U' U' M U M' M' U M' U' M' U M  (12sq) 
M' D' M' D L' L' R' R' U' M U M  (12sq) 
x2 U' U' M' U M' U M' M' U' M U M  (12sq) 
x2 F M' U' M' U M F' M U' M U M  (12sq) 
x2 F' M' U' M' U M F M U' M U M  (12sq) 
M D M D L' L' R' R' U M U M  (12sq) 
x2 U' U' M U' M U M' M' U M U M  (12sq) 
x2 F U' L D' F' M F D L' U F' M  (12sq) 
x2 U M U' M F' F' U M' U' F' F' M  (12sq) 
x2 F' F' U M U' M U M' U' F' F' M  (12sq) 
x2 F D R' D F M F' D' R D' F' M  (12sq) 
x2 F D M' U' F' M F U M D' F' M  (12sq) 
x2 F D' R' D F M F' D' R D F' M  (12sq) 
x2 F D' M' U' F' M F U M D F' M  (12sq) 
x2 F L' M' F U M U' F' L M F' M  (12sq) 
x2 F' D M' U' F M F' U M D' F M  (12sq) 
x2 F' D' M' U' F M F' U M D F M  (12sq) 
x2 L M U' M' M' U M' U' M' U L' M  (12sq) 
x2 L M' U' M' U M' M' U' M U L' M  (12sq) 
x2 L M U M U M' M' U M U L' M  (12sq) 
x2 L F R' D F M F' D' R F' L' M  (12sq) 
x2 L F M' U' F' M F U M F' L' M  (12sq) 
x2 L F' M' U' F M F' U M F L' M  (12sq) 
x2 L' M U' M' M' U M' U' M' U L M  (12sq) 
x2 L' M' U' M' U M' M' U' M U L M  (12sq) 
x2 L' M U M U M' M' U M U L M  (12sq) 
x2 L' F R' D F M F' D' R F' L M  (12sq) 
x2 L' F M' U' F' M F U M F' L M  (12sq) 
x2 L' F' M' U' F M F' U M F L M  (12sq) 
x' B' B' R' B M' B' M' B M B' L U' U'  (13sq) 
x' B L B M' U M B M' B' U' B' R' U'  (13sq) 
x' M' B U R' M F U' M' U F' L F' U'  (13sq) 
x M' F D L' D F' M' F D' R M' F' U'  (13sq) 
x' M' B U' L M F' U M' U' F R' F U'  (13sq) 
x M' F D' R D' F M' F' D L' M' F U'  (13sq) 
x' B R' B' M' U' M B' M' B U B L U'  (13sq) 
x F U L' U' M' U R U M' U' M' B' U'  (13sq) 
x F U' R U M' U' L' U' M' U M' B U'  (13sq) 
x L' F U M' U' U' M' U F' R U M' U'  (13sq) 
x L' U F' M' F' F' M' F' U' R U M' U'  (13sq) 
x' M' B' L U M U' M U M' M' U' R' U  (13sq) 
x' M B' L M' U M' U' M' U M U' R' U  (13sq) 
x' M' B' L U' M' M' U M U' M U R' U  (13sq) 
x' M B' L M' B M B' M' B M' B' R' U  (13sq) 
x' M B' L M B' M' B M B' M B R' U  (13sq) 
x M F' L' M U M' U' M' U M U' R U  (13sq) 
x M' F' L' U' M U M' M' U' M' U R U  (13sq) 
x M' F' R U M U' M' M' U M' U' L' U  (13sq) 
x M F' R M U' M' U M' U' M U L' U  (13sq) 
x' M' B' R' U M' M' U' M U M U' L U  (13sq) 
x' M' B' R' U' M U M U' M' M' U L U  (13sq) 
x' M B' R' M' U' M' U M' U' M U L U  (13sq) 
x' M B' R' M B M' B' M B M B' L U  (13sq) 
x' M B' R' M' B' M B M' B' M' B L U  (13sq) 
x' B' D L M U' B' M' M' B U R' B' U  (13sq) 
x F' U R F' U' M' M' U F L' M' B' U  (13sq) 
x' B' D' R' M U B M' M' B' U' L B U  (13sq) 
x F' U' L' F U M' M' U' F' R M' B U  (13sq) 
x' M B' L U' M U M' U' M' U R' M' U  (13sq) 
x M F' L' U M' U' M U M U' R M' U  (13sq) 
x M F' R U' M' U M U' M U L' M' U  (13sq) 
x' M B' R' U M U' M' U M' U' L M' U  (13sq) 
x' L U' U' B' M' B M' B' M B U' U' R'  (13sq) 
x' M B' M B L U' M U M U' M' U R'  (13sq) 
x L' R' F R U' F' M F U R' F' R' R'  (13sq) 
x' L R D F M D M' D' M' F' D' R' R'  (13sq) 
x' L R D F' M D M' D' M' F D' R' R'  (13sq) 
x L' R' M' M' D M D M' D' M' D' R' R'  (13sq) 
x L' R' D' B M' D M D' M B' D R' R'  (13sq) 
x L' R' D' B' M' D M D' M B D R' R'  (13sq) 
x' L R M' M' D' M' D M D' M D R' R'  (13sq) 
x R' F R U' F' M F U R' F' L' R' R'  (13sq) 
x R' M' M' D M D M' D' M' D' L' R' R'  (13sq) 
