x F R' D F' M F D' R F'  (9sq*) 
L' U' R B' U M' U' B R' U' M U' U' R  (14sq) 
L' U L U' M' F' M' F M' M' U L' U' R  (14sq) 
x2 R D' M D L R U L U' M U L' U' R  (14sq) 
L' M F' M F M U L' U' M U L U' R  (14sq) 
L' U' L U' M' F' M' F M' M' U L' U R  (14sq) 
L' M' F M' F' M U' L' U' M U L U R  (14sq) 
x2 R' U M' U' M B' R' M U' M U L U R  (14sq) 
R' D M' D' M F' L' F' M F R M' U R  (14sq) 
M' U' M' M' F' M F M U L' U' M U R  (14sq) 
L' F' M' M' F M' F D' D' M' D' D' F' R  (14sq) 
L' F M' M' F M F' D' D' M D' D' F' R  (14sq) 
L' M F D' R D' F' M' F D R' D F' R  (14sq) 
L' M' F L D' M D' M D M' D L' F' R  (14sq) 
R' D R M' D' M D' M D M' D L' F' R  (14sq) 
L' F L' F' R U' M U R' M' F L F' R  (14sq) 
x2 R' U L F' M F' M F M' F R' M F' R  (14sq) 
L' M' F M' F' M F' M F M' F M F' R  (14sq) 
L' F' M' M' F M' F' U' U' M' U' U' F R  (14sq) 
L' F M' M' F M F U' U' M U' U' F R  (14sq) 
L' M' F' U' L U' F' M F U L' U F R  (14sq) 
R' D' F' R M' U' F' M F U L' U F R  (14sq) 
x2 R' U' B' L B' U' M U B R' M U F R  (14sq) 
L' M F' R U' M' U' M' U M U R' F R  (14sq) 
L' F' R' F' L D' M' D L' M F R F R  (14sq) 
R' D' R D' F D M' D' M F' D L' F R  (14sq) 
