x F R' D F' M F D' R F'  (9sq*) 
x R M' M' B D' R D' M' D R' D B' R'  (13sq) 
x' L M' D F' L M D' M' D R' D B' R'  (13sq) 
x L M' U B' R B' M' B L' M' D B' R'  (13sq) 
x B U' M' U B' U M' U' R B M' B' R'  (13sq) 
x' L' L' R' B' U R' U M' U' R U' B R'  (13sq) 
x R M' M' B' U R' U M' U' R U' B R'  (13sq) 
x L M' U' F L' M' U M' U' R U' B R'  (13sq) 
x' L M' D' B R' B M' B' L M U' B R'  (13sq) 
x' L' L' R' B' U' L U' M' U L' U B R'  (13sq) 
x R M' M' B' U' L U' M' U L' U B R'  (13sq) 
x L M' U' F' R M' U' M' U L' U B R'  (13sq) 
x' L M' D' B' L B' M' B R' M U B R'  (13sq) 
x R B' R D' M' D' M D M D R' B R'  (13sq) 
x R B' L' D M' D M D' M D' L B R'  (13sq) 
x' U R' M F' M' F L F' L B' M' B R'  (13sq) 
x D L' D' M' D R M' F' L B' M' B R'  (13sq) 
x R D L' D' M' D L D' M' B' M' B R'  (13sq) 
x D L' D' M' D L D' R M' B' M' B R'  (13sq) 
x R U L U M U' L' U' M B' M' B R'  (13sq) 
x U L U M U' L' U' R M B' M' B R'  (13sq) 
x B' M B M' B M B' R M B' M' B R'  (13sq) 
x R B' M B M' B M B' M B' M' B R'  (13sq) 
x R B' M B' M' B' M B M B M' B R'  (13sq) 
x R' F M' F' M U' L' U' M U L U R  (13sq) 
x R' F L D' M D' M D M' D L' F' R  (13sq) 
x R' F M' F' M F' M F M' F M F' R  (13sq) 
x R' F' U' L U' F' M F U L' U F R  (13sq) 
x R' D R' B L' D M D' L B' R D' R  (13sq) 
x' L' M' B D' R M' D' M D L' F D' R  (13sq) 
x L' M' F U' L F' M F R' M F D' R  (13sq) 
x R' D F' R M' F' M F R' M F D' R  (13sq) 
x R' D L F' L D' M D L' F L' D' R  (13sq) 
x R' D L' F' L D' M D L' F L D' R  (13sq) 
x R' D M' D L' F M F' L D' M D' R  (13sq) 
x L' R' D F' L D' M D L' F D' L R  (13sq) 
x M' M' F U' L D' F M' F' D L' U F'  (13sq) 
x F R' U' M' F' M F U R U' M U F'  (13sq) 
x F R' F' F' D F M F' D' F' F' R F'  (13sq) 
x M' F U' F M' F' U R' F' M' F R F'  (13sq) 
x M' F U' F' M' F U R' F' M' F R F'  (13sq) 
x' B R' U B' L' L' R' R' M' F D' R F'  (13sq) 
x M F' F' M' F' R' D F' M F D' R F'  (13sq) 
x M' F' F' M F' R' D F' M F D' R F'  (13sq) 
x F L' R' D L F' M F L' D' L R F'  (13sq) 
x F R' B' B' D F' M F D' B' B' R F'  (13sq) 
x U' M' U' M' U' U' F' F' U M' U' F' F'  (13sq) 
x U' M' U F' F' U' U' M U M U F' F'  (13sq) 
x M F U' L F' M F L' U F M' F' F'  (13sq) 
x F D R' F' M' D M D' M F R D' F'  (13sq) 
x F D R' D M F' M F M' D' R D' F'  (13sq) 
x F D' D' R' D F' M F D' R D' D' F'  (13sq) 
x F D L' U' M' F M F' M U L D' F'  (13sq) 
x F D L' F M U' M U M' F' L D' F'  (13sq) 
x F D L' M' F U' M U F' L M D' F'  (13sq) 
x F D' B R F B M B' F' R' B' D F'  (13sq) 
x F D' B R' F' B' M B F R B' D F'  (13sq) 
x F D' B L D U M D' U' L' B' D F'  (13sq) 
x F D' B L' D' U' M D U L B' D F'  (13sq) 
