x' F M F U' M' U M F' M' F' U M' U'  (13sq) 
x' F' M F' M F M' U' M' U F U M' U'  (13sq) 
x' F' U' M F' M F M' M' U F U M' U'  (13sq) 
x' F' M F' U' M' U M F M' F U M' U'  (13sq) 
x' U M' F M' F U M' U' F' M F' M U'  (13sq) 
x' U M' F' L D' F M' F' D L' F M U'  (13sq) 
x' U M' F' M' F' U M' U' F M F M U'  (13sq) 
x' M U' R M' U M' U' M U' M' U R' U  (13sq) 
x F L' F M F' L F' D' L' L' R' R' U  (13sq) 
x' M U' R F' L F M' M' F' L' F R' U  (13sq) 
x' M U' R' M' U M' U' M U' M' U R U  (13sq) 
x' M U' R' F' L F M' M' F' L' F R U  (13sq) 
x' U' M F L' F U M' M' U' F' L F' U  (13sq) 
x' U' F' U' L M' F' M' F L' M U F U  (13sq) 
x' R' R' M' F L F' D' R' R' F' L' F U  (13sq) 
x L' L' M F L F' D' R' R' F' L' F U  (13sq) 
x' L R D R M' F' D' R' R' F' L' F U  (13sq) 
x M D' B' L B L' L' R' R' F' L' F U  (13sq) 
x' L R D L D' B' L' R' M' F' L' F U  (13sq) 
x' U' U' M U F' L F M' M' F' L' F U  (13sq) 
x L R U L U' F' L R M F' L' F U  (13sq) 
x' U' M F' L' F U M' M' U' F' L F U  (13sq) 
x L R U L U' F' R' R' U' R' M F U  (13sq) 
x' M U' F' R M' U M' M' U' R' M F U  (13sq) 
x' U' L U L' M U' M' U L M' U' L' U  (13sq) 
x' R B' U' L U R' M' U' F U F' L' U  (13sq) 
x' M U' L D F D' M' M' D F' D' L' U  (13sq) 
x' M U' L D' F D M' M' D' F' D L' U  (13sq) 
x D' R' M B L M B' M' B R' U' L U  (13sq) 
x' U' R' M F R U' M' U L' M' U' L U  (13sq) 
x' U' L' U L M U' M' U L' M' U' L U  (13sq) 
x' U' M B U L' B' M' M' B L U' B' U  (13sq) 
x' U' B U' M B' M B' M B' B' U B' U  (13sq) 
x' U M' U' U' B' B' U' M' U M B' B' U  (13sq) 
x' U' B' U' M B M B M B' B' U B U  (13sq) 
x' U' F' L' F' U' M U M' F L F M' U  (13sq) 
x' U' R' M F R U' M' U R' F' R M' U  (13sq) 
x' U' L' U L M U' M' U R' F' R M' U  (13sq) 
x D' L' D R F' M' F L' M' F' R M' U  (13sq) 
x' M U' L F M' F' M F' M' F L' M' U  (13sq) 
x' M' M' U M' U' M U' M U' M U M' U  (13sq) 
x' U' B U L' B M B' L U' B' M' M' U  (13sq) 
x' R B L' B M B' L B' R' U' M' M' U  (13sq) 
x' R' B L' B M B' L B' R U' M' M' U  (13sq) 
x' M' M' B L' B' M' B L B' U' M' M' U  (13sq) 
x' B R' M U M U' R M' B' U' M' M' U  (13sq) 
x' M' B U' B' M' B U B' M' U' M' M' U  (13sq) 
x' M' B' U' B M' B' U B M' U' M' M' U  (13sq) 
x' F L F' M' F L' F' M' M' U' M' M' U  (13sq) 
x' U' U' F R' F M F' R F' U M' M' U  (13sq) 
x' U M' U' M U' M' U' M' M' U M' M' U  (13sq) 
x' B M' B' U' B M B' U' M U M' M' U  (13sq) 
x' B' M' B U' B' M B U' M U M' M' U  (13sq) 
x' B' R B' M B R' B U M U' U' M U  (13sq) 
x' U M' M' B' B' M' B' B' U' M U' M U  (13sq) 
x' U M' U' U' M' U' U' M' U' M U' M U  (13sq) 
x' U F' F' M' F' F' M' M' U' M U' M U  (13sq) 
x' U M D' D' M' D' D' M U' M U' M U  (13sq) 
x' U' M' M' B' B' M' B' B' U M U' M U  (13sq) 
x' U' M' U' U' M' U' U' M' U M U' M U  (13sq) 
x' U' F' F' M' F' F' M' M' U M U' M U  (13sq) 
x' U' M D' D' M' D' D' M U M U' M U  (13sq) 
x' M U' M' F U F' M' M' F U' F' M U  (13sq) 
x' M U' M' F' U F M' M' F' U' F M U  (13sq) 
x' R B' M' B U' U' M' B' M B U' U' R'  (13sq) 
x' R B M B' U' U' M B' M B U' U' R'  (13sq) 
x' R U' U' B' M' B' M' B M B U' U' R'  (13sq) 
x' U' M' U R U L' B M B' L M' U' R'  (13sq) 
x' R U' L B' L U M' U' L' B L' U R'  (13sq) 
x L M B' R' M U B' M' B U' L U R'  (13sq) 
x' R U' L' B' L U M' U' L' B L U R'  (13sq) 
x' L M F' U' R M' U M' U' L' B U R'  (13sq) 
x L M B' D' L B M' B' R' M B U R'  (13sq) 
x' R U' B' R M' B M' B' R' M B U R'  (13sq) 
x' L M F' L' F U' M' U F' R M' U R'  (13sq) 
x' R U' R' M F U' M' U F' R M' U R'  (13sq) 
x' L F' M F' L' U' M' U R U M' U R'  (13sq) 
x' U' F' R M' U L R D F L' F' R' R'  (13sq) 
x' U' F' L F R' R' M' D F L' F' R' R'  (13sq) 
x D' B' L B L' L' M D F L' F' R' R'  (13sq) 
x L' L' F L F' D' M D F L' F' R' R'  (13sq) 
x D' B' L B L R F U R' M F' R' R'  (13sq) 
x' B R M' D' B' L R B' L' B D R' R'  (13sq) 
x' B L B' U' R' R' M' B' L' B D R' R'  (13sq) 
x L' L' D' B' L B M B' L' B D R' R'  (13sq) 
x F L F' D' L' L' M B' L' B D R' R'  (13sq) 
x F L F' D' L R D' R' M B D R' R'  (13sq) 
x L' F L F' D' M D F L' F' L' R' R'  (13sq) 
x L' D' B' L B M B' L' B D L' R' R'  (13sq) 
x F L F' D' M D F L' F' L' L' R' R'  (13sq) 
x D' B' L B M B' L' B D L' L' R' R'  (13sq) 
x B D' L B M B' L' D B' L' L' R' R'  (13sq) 
x B' D' L B M B' L' D B L' L' R' R'  (13sq) 
x L' B D' L B M B' L' D B' L' R' R'  (13sq) 
x L' B' D' L B M B' L' D B L' R' R'  (13sq) 
x L' L' B D' L B M B' L' D B' R' R'  (13sq) 
x L' L' B' D' L B M B' L' D B R' R'  (13sq) 
x' R F U' F' L' B' M' B L F U F' R'  (13sq) 
x' R F D F' L B' M' B L' F D' F' R'  (13sq) 
x' R F L' F R' U M' U' R F' L F' R'  (13sq) 
x' R F' U' F L' B' M' B L F' U F R'  (13sq) 
x' R F' D F L B' M' B L' F' D' F R'  (13sq) 
x' L D' L D R B' M' B L' F' L' F R'  (13sq) 
x L U' L' U' R' B M B' L F L F R'  (13sq) 
x L' M D' B' L B L' R' B D L' D' R'  (13sq) 
x' L M B R M' D' B' M' B D L' D' R'  (13sq) 
x' R B' M' M' B D L' D' M D L D' R'  (13sq) 
x L M F L F' D' M' D F R' M D' R'  (13sq) 
x' R D R M' F' D' M' D F R' M D' R'  (13sq) 
x' L B' M' B R B' M' B L' D' M D R'  (13sq) 
x' L R U' L' U B' M' B U' L U L' R'  (13sq) 
x' L R U' B' L U M' U' L' B U L' R'  (13sq) 
x M D' B' L B L' R' B D L' D' L' R'  (13sq) 
x' L R D L D' B' M' B D L' D' L' R'  (13sq) 
x' L R B' U R' U' M' U R U' B L' R'  (13sq) 
x M F L F' D' L' R' U' L' U B L' R'  (13sq) 
x' L R B' U' L U M' U' L' U B L' R'  (13sq) 
x' U' M U R B L' B' M' M' B L B' R'  (13sq) 
x' R M' B' U' U' B M B' M' U' U' B R'  (13sq) 
x' R M' B' U' U' B' M B M' U' U' B R'  (13sq) 
x' L M U' F L' M' U' M' U R U' B R'  (13sq) 
x L M D' B R' B' M' B L M U' B R'  (13sq) 
x' R B' U L' M' B' M' B L M U' B R'  (13sq) 
x L' M F L F' D' L' R' U' L' U B R'  (13sq) 
x' L M U' F' R M' U M' U' L' U B R'  (13sq) 
x' R D L U' L' D' B' M' U' B U B R'  (13sq) 
x L M D' B' L B M' B' R' M U B R'  (13sq) 
x' R B' U' R M' B M' B' R' M U B R'  (13sq) 
x' R B' R U' L U M' U' L' U R' B R'  (13sq) 
x' R B' R' U' L U M' U' L' U R B R'  (13sq) 
x' R B' R' F U' F' M' F U F' R B R'  (13sq) 
x' R B' R' F' U' F M' F' U F R B R'  (13sq) 
x' R B' L U R' U' M' U R U' L' B R'  (13sq) 
x' R B' L F U F' M' F U' F' L' B R'  (13sq) 
x' R B' L F' U F M' F' U' F L' B R'  (13sq) 
x' R B' L' U R' U' M' U R U' L B R'  (13sq) 
