M B' R B' M' B R' B  (8sq*) 
x' R U' L' U' M U L U L' U' M' U M'  (13sq) 
x D' R' M B' M B L B M U' M' U M'  (13sq) 
x' U' L' U' M U R M' B M U' M' U M'  (13sq) 
x' F' R U F' U M U' F U' L' M' U M'  (13sq) 
x' F' R U' F' U' M U F U L' M' U M'  (13sq) 
x B' R' D B' D M D' B D' L M U M'  (13sq) 
x B' R' D' B' D' M D B D L M U M'  (13sq) 
x L R F' R F' M' F R' F R' R' M' M'  (13sq) 
x L F' R' R' F' M' F R' R' F R' M' M'  (13sq) 
x' L' M' M' U F U M' U' F' U' R M' M'  (13sq) 
x' L' M' M' U' F U' M' U F' U R M' M'  (13sq) 
x R' R' U F U M' U' F' U' L R M' M'  (13sq) 
x R' R' U' F U' M' U F' U L R M' M'  (13sq) 
x' L' F D F' D M D' F D' F' R M' M'  (13sq) 
x' L' F D' F' D' M D F D F' R M' M'  (13sq) 
x' L' F' U F' U M U' F U' F R M' M'  (13sq) 
x' L' F' U' F' U' M U F U F R M' M'  (13sq) 
x' F' R F' M F' M F M' F L' U M' M'  (13sq) 
x' L R U M U M' U M U L' L' M' M'  (13sq) 
x L' R' F' R' F' M' F R F L' L' M' M'  (13sq) 
x L' L' R' F' R' F' M' F R F L' M' M'  (13sq) 
x' R M' M' F' R' F' M' F R F L' M' M'  (13sq) 
x' L M' D' L' M' F' M' F R F L' M' M'  (13sq) 
x L M' U' R' U' M' U L M F L' M' M'  (13sq) 
x R' M' M' U M U M' U M U L M' M'  (13sq) 
x' L' M' D' L' M' F' M' F R F L M' M'  (13sq) 
x L' M' U' R' U' M' U L M F L M' M'  (13sq) 
x R' F' L' M' U' M' U L M F L M' M'  (13sq) 
x' D' D' M' D L' M' F' M' F R F M' M'  (13sq) 
x' M' D' R' D' M' D L' R' R' M' F M' M'  (13sq) 
x U' U' M' U R' U' M' U L M F M' M'  (13sq) 
x M' D' L M B M' B' R' B' M B' B' M  (13sq) 
x M D' L M B' M B R' B' M B' B' M  (13sq) 
x' M' U' R U M' U' L' M' B' M B' B' M  (13sq) 
x' M U' R U' M U L' M' B' M B' B' M  (13sq) 
x D M' D M' D' L B' M' B R' M' B' M  (13sq) 
x L B M' U R' U M U' R U' B' R' M  (13sq) 
x' L' R' M' F D F M' F' D' F' R' R' M  (13sq) 
x L R M F D F M' F' D' F' R' R' M  (13sq) 
x' L' R' M' F' D F' M' F D' F R' R' M  (13sq) 
x L R M F' D F' M' F D' F R' R' M  (13sq) 
x' R' M' F D F M' F' D' F' L' R' R' M  (13sq) 
x' R' M' F' D F' M' F D' F L' R' R' M  (13sq) 
x L' M D' R D' M' D R' D L' L' R' M  (13sq) 
x' R' R' M' D' R D' M' D R' D L' R' M  (13sq) 
x L' L' M D' R D' M' D R' D L' R' M  (13sq) 
x L R F' L M D' M' D R' D L' R' M  (13sq) 
x' L R B' R B' M' B L' M' D L' R' M  (13sq) 
x L D L B M' B' B' M B L' D' R' M  (13sq) 
x' L' R' R' M' D' R D' M' D R' D R' M  (13sq) 
x L D' D' M D R D' M' D R' D R' M  (13sq) 
x' R B' L' R' R' M' D' M' D R' D R' M  (13sq) 
x L M D' L M B' M' B L' M' D R' M  (13sq) 
x' L' U' F U M U' F' U' M U' U' R M  (13sq) 
x' L' U' F U' M U F' U' M U' U' R M  (13sq) 
x' L' U F U M U' F' U M U' U' R M  (13sq) 
x' L' U F U' M U F' U M U' U' R M  (13sq) 
x' L' F' F' M F' M F M' F M F R M  (13sq) 
x R' R' M' F M F M' F M F L R M  (13sq) 
x' L' L' M F M F M' F M F L R M  (13sq) 
x' L' L' M' D' R' D' M' D R D L R M  (13sq) 
x R' R' M D' R' D' M' D R D L R M  (13sq) 
x' L' R' B' L' M' D' M' D R D L R M  (13sq) 
x L' R' F' R' F' M' F L M D L R M  (13sq) 
x' L' D' D' M' D R' D' M' D R D R M  (13sq) 
x' R' B' R' B' M' B L' R' R' M' D R M  (13sq) 
x' L' M' D' L' M' F' M' F L M D R M  (13sq) 
x M' B' M D L M B M' B' R' B' U M  (13sq) 
x' M' F' M U R U M' U' L' M' B' U M  (13sq) 
x' M F' L' M' F' M' F' F' M' F' R U M  (13sq) 
x' M' F' R B R B M' B' R' B' L' U M  (13sq) 
x M B' R' U' M' U' U' M' U' L M U M  (13sq) 
x' M' D L' M' F M' F' R F M F' F' M  (13sq) 
x' M D L' M' F' M F R F M F' F' M  (13sq) 
x M' U R' U M' U' L M F M F' F' M  (13sq) 
x M U R' U' M U L M F M F' F' M  (13sq) 
x' M' D M' F M' F' R F M F' L' F' M  (13sq) 
x U R' M' U M' U' L F' M' F M' F' M  (13sq) 
x M' U' R' M U M U' U' M' U L F M  (13sq) 
x' M' D' L' F M F' F' M' F R M' F M  (13sq) 
x' R B' R B' M B R' B' M B' B' L' M  (13sq) 
x' R M U' B' B' U' M U B' B' U L' M  (13sq) 
x' R U' R' F' M' F' F' M' F' R U L' M  (13sq) 
x' R F' F' U M U' F' F' U' M U L' M  (13sq) 
x' R U' M' U' M' U' U' M' U' M U L' M  (13sq) 
x' R U M U M' U' U' M U' M U L' M  (13sq) 
x' R F R' F' M F R F M F' F' L' M  (13sq) 
x' R M' D' R' R' D' M' D R' R' D L' M  (13sq) 
x' L B' L' R' M' D' M' D R' R' D L' M  (13sq) 
x L F' L R M D' M' D R' R' D L' M  (13sq) 
x' L B' R' R' B' M' B L' R' M' D L' M  (13sq) 
x L F' R' R' F' M' F L R M D L' M  (13sq) 
x R' B' R B M' B' R' B' M B' B' L M  (13sq) 
x R' M' U' B' B' U' M U B' B' U L M  (13sq) 
x R' U' M B R B M' B' R' B' U L M  (13sq) 
x R' F R' F M' F' R F M F' F' L M  (13sq) 
x R' F' L' U M U' U' M' U L F L M  (13sq) 
x R' M D' R' R' D' M' D R' R' D L M  (13sq) 
x' L' B' L' R' M' D' M' D R' R' D L M  (13sq) 
x L' F' L R M D' M' D R' R' D L M  (13sq) 
x' L' B' R' R' B' M' B L' R' M' D L M  (13sq) 
x L' F' R' R' F' M' F L R M D L M  (13sq) 
x F' L' L' M' M' B' M' B L' R' M' D M  (13sq) 
x F' L' R' M' U' M' U L' L' M' M' D M  (13sq) 
x' B' L R M U' M' U L' L' M' M' D M  (13sq) 
x' B' L' L' M' M' F' M' F L R M D M  (13sq) 
x2 M' D' M' D' M D' M' D L' L' R' R' U' U'  (14sq) 
M' U' U' R F' L F M F' L' F R' U' U'  (14sq) 
U' U' R M' F' L F M F' L' F R' U' U'  (14sq) 
U' U' L D' R M' F M F' L' F R' U' U'  (14sq) 
M U' U' R F' L F' M' F L' F R' U' U'  (14sq) 
U' U' R M F' L F' M' F L' F R' U' U'  (14sq) 
x2 D' D' L U' L U M U' R' M F R' U' U'  (14sq) 
M' U' U' R' F' L F M F' L' F R U' U'  (14sq) 
U' U' R' M' F' L F M F' L' F R U' U'  (14sq) 
M U' U' R' F' L F' M' F L' F R U' U'  (14sq) 
U' U' R' M F' L F' M' F L' F R U' U'  (14sq) 
x2 D' D' L' D' R M' F' M' F L' F R U' U'  (14sq) 
R' U' F' U L D F' F' D' L' F R U' U'  (14sq) 
U' U' L' U' L U' M' U R' M F R U' U'  (14sq) 
M U' M' U' M' F' F' U M U' F' F' U' U'  (14sq) 
U F' D U R U R U R' R' D' F' U' U'  (14sq) 
R M' B U' B' U' M U' R' F' U F U' U'  (14sq) 
L U F' U' F' M F' L' M' F' U F U' U'  (14sq) 
M' U' M' M' U' F' R' F M' F' R F U' U'  (14sq) 
M U' U' M' M' F' L F M F' L' F U' U'  (14sq) 
M' M' U' U' M F' L F M F' L' F U' U'  (14sq) 
U' U' F' F' M' F L F M F' L' F U' U'  (14sq) 
M' M' U' U' M' F' L F' M' F L' F U' U'  (14sq) 
M' U' U' M' M' F' L F' M' F L' F U' U'  (14sq) 
U' U' F' F' M F L F' M' F L' F U' U'  (14sq) 
U' U' B' M' F' L F M F' L' B F U' U'  (14sq) 
M' U' U' F' R M' U M U' R' M F U' U'  (14sq) 
U' U' M' F' R M' U M U' R' M F U' U'  (14sq) 
M U' U' F' R M' U' M' U R' M F U' U'  (14sq) 
U' U' M F' R M' U' M' U R' M F U' U'  (14sq) 
L U F' U' F' F' U L F L' U' L' U' U'  (14sq) 
M' B' U' B L U' M U' F U F' L' U' U'  (14sq) 
M' U' U' L D F D' M D F' D' L' U' U'  (14sq) 
U' U' L M' D F D' M D F' D' L' U' U'  (14sq) 
M' U' U' L D' F D M D' F' D L' U' U'  (14sq) 
U' U' L M' D' F D M D' F' D L' U' U'  (14sq) 
U M' U B U L' B M B' L U' B' U' U'  (14sq) 
U B' M' B U M B' B' M B' M' B' U' U'  (14sq) 
U B' M' B U' M' M' U' U' B M' B' U' U'  (14sq) 
U B M' B' U' M' M' U' U' B' M' B U' U'  (14sq) 
U B M' B' U M B' B' M B M' B U' U'  (14sq) 
D R' R' D' M D R' R' U' U' D' M' U' U'  (14sq) 
D' U' U' L' L' D M D' L' L' D M' U' U'  (14sq) 
M' U' M' U' B' B' U' M' U B' B' M' U' U'  (14sq) 
M' U' M' U' B M U' M' U M' B' M' U' U'  (14sq) 
M' U' M' U' B' M U' M' U M' B M' U' U'  (14sq) 
U' U' L D' L D M D' L' D L' M' U' U'  (14sq) 
U' U' L' D' L' D M D' L D L M' U' U'  (14sq) 
R D R D' M D R' D' R' U' U' M' U' U'  (14sq) 
R' D R' D' M D R D' R U' U' M' U' U'  (14sq) 
M' B R B M' B' R' B' M' U' U' M' U' U'  (14sq) 
M B R B' M B R' B' M' U' U' M' U' U'  (14sq) 
M' U' M' U M U M' U' M' U' U' M' U' U'  (14sq) 
M F R' F M' F' R F' M U' U' M' U' U'  (14sq) 
M' F R' F' M F R F' M U' U' M' U' U'  (14sq) 
M U' B L' B M B' L B' M' U' M' U' U'  (14sq) 
M U' B' R B' M B R' B M' U' M' U' U'  (14sq) 
U M U B' B' U M U' B' B' M' M' U' U'  (14sq) 
M U' U' B' L' B M B' L B M' M' U' U'  (14sq) 
U' U' M B' L' B M B' L B M' M' U' U'  (14sq) 
M' U' U' B' L' B' M' B L B M' M' U' U'  (14sq) 
U' U' M' B' L' B' M' B L B M' M' U' U'  (14sq) 
M B R B M B' R' B' U' U' M' M' U' U'  (14sq) 
U' U' M' U M' U' M U' M' U M' M' U' U'  (14sq) 
M' M' U' F M F' U' F M' F' M' M' U' U'  (14sq) 
M' M' U' F' M F U' F' M' F M' M' U' U'  (14sq) 
M' M' U' M B M' B' U' B M B' M U' U'  (14sq) 
M' M' U' M B' M' B U' B' M B M U' U'  (14sq) 
B U B' R' M' U' U' F' U' F R M U' U'  (14sq) 
M' M' U' B U' B' M B U B' U' M U' U'  (14sq) 
M' M' U' B' U' B M B' U B U' M U' U'  (14sq) 
R U' R' U M' U' R U R' U' U' M U' U'  (14sq) 
R' U' R U M' U' R' U R U' U' M U' U'  (14sq) 
U M' F M F' U' F M' F' U' U' M U' U'  (14sq) 
U M' F' M F U' F' M' F U' U' M U' U'  (14sq) 
L B U B' M' B U' B' L' U' U' M U' U'  (14sq) 
L B' U B M' B' U' B L' U' U' M U' U'  (14sq) 
L' B U B' M' B U' B' L U' U' M U' U'  (14sq) 
L' B' U B M' B' U' B L U' U' M U' U'  (14sq) 
M' U M U' M' U' M U M' U' U' M U' U'  (14sq) 
M F' R' F M' F' R F M' U' U' M U' U'  (14sq) 
M' F' R' F' M F R F M' U' U' M U' U'  (14sq) 
U B M' B' U' B M B' M' U' U' M U' U'  (14sq) 
U B' M' B U' B' M B M' U' U' M U' U'  (14sq) 
M' B' R B M' B' R' B M U' U' M U' U'  (14sq) 
M B' R B' M B R' B M U' U' M U' U'  (14sq) 
U' L U L' U M' U' L U' L' U' M U' U'  (14sq) 
U' L' U L U M' U' L' U' L U' M U' U'  (14sq) 
U M' U M U' M' U' M U' M' U' M U' U'  (14sq) 
U' M F L F M' F' L' F' M' U' M U' U'  (14sq) 
U' M' B L' B M' B' L B' M U' M U' U'  (14sq) 
U R U R' U' M' U R U' R' U M U' U'  (14sq) 
U R' U R U' M' U R' U' R U M U' U'  (14sq) 
U L F U' F' M' F U F' L' U M U' U'  (14sq) 
U L F' U' F M' F' U F L' U M U' U'  (14sq) 
U L' F U' F' M' F U F' L U M U' U'  (14sq) 
U L' F' U' F M' F' U F L U M U' U'  (14sq) 
U M F R' F' M' F R F' M' U M U' U'  (14sq) 
U M' B R B' M' B R' B' M U M U' U'  (14sq) 
U M U' M' U M U M U' M U M U' U'  (14sq) 
R' M' U' F U F' F' R F U' F' M U' U'  (14sq) 
L' B' U B M' U' U' L F U' F' M U' U'  (14sq) 
M' M' U' U' F U F' M F U' F' M U' U'  (14sq) 
M' U' U' M' F U F' M F U' F' M U' U'  (14sq) 
U' U' M' M' F U F' M F U' F' M U' U'  (14sq) 
M U' U' M F U F' M F U' F' M U' U'  (14sq) 
M' M' U' U' F' U F M F' U' F M U' U'  (14sq) 
M' U' U' M' F' U F M F' U' F M U' U'  (14sq) 
U' U' M' M' F' U F M F' U' F M U' U'  (14sq) 
M U' U' M F' U F M F' U' F M U' U'  (14sq) 
U' U' L U' L' U' M' U L U L' M U' U'  (14sq) 
U' U' L F M' F' M F' M' F L' M U' U'  (14sq) 
U' U' L' U' L U' M' U L' U L M U' U'  (14sq) 
M' U R U F' L F M F' L' F U' R' U'  (14sq) 
M U R U F' L F' M' F L' F U' R' U'  (14sq) 
L U F L F U' R U L' U' L' U' R' U'  (14sq) 
L F R B U M' U M U' B' L' U' R' U'  (14sq) 
R M' B L F U F' L' B' U M U' R' U'  (14sq) 
L U R M' F U F' L' B' U M U' R' U'  (14sq) 
x2 L D L U B U' R' M B' U M U' R' U'  (14sq) 
U M' F' M U' M' U F R U M U' R' U'  (14sq) 
R M B' R D B' D' M' B R' B U R' U'  (14sq) 
M U R U' B' R B' M' B R' B U R' U'  (14sq) 
D' M' U M D R' R' M' U M U' R' R' U'  (14sq) 
x2 U' M' D M U L' L' M U M U' R' R' U'  (14sq) 
U R' R' M' F R F M F' R' F' R' R' U'  (14sq) 
x2 D L' L' M F R F M F' R' F' R' R' U'  (14sq) 
x2 D L R U L M F M F' R' F' R' R' U'  (14sq) 
U L R D R D M D' L' M' F' R' R' U'  (14sq) 
x2 D L' M F R F M F' R' F' L' R' R' U'  (14sq) 
x2 D M F R F M F' R' F' L' L' R' R' U'  (14sq) 
U R M' F R' R' F M F' R' R' F' R' U'  (14sq) 
U L D L' R' M' F M F' R' R' F' R' U'  (14sq) 
x2 D L U L R M F M F' R' R' F' R' U'  (14sq) 
U F' F' R F R F R' R' F' R' F' R' U'  (14sq) 
M' U R F R F' U M U' F R' F' R' U'  (14sq) 
U L D R' R' D M D' L' R' M' F' R' U'  (14sq) 
x2 D L U R' R' U M U' L R M F' R' U'  (14sq) 
U R B' M' F' L F' M F L' B F R' U'  (14sq) 
U L R B M' U' U' M U' U' B' L' R' U'  (14sq) 
M' M' U L R B' M' B' B' M' B' L' R' U'  (14sq) 
U L R B' D' D' M D' D' M' B L' R' U'  (14sq) 
U R B M' U' R' U' M U R U B' R' U'  (14sq) 
x2 D L M D L U' U' M U' U' R' B' R' U'  (14sq) 
U R B R M' U' U' M U' U' R' B' R' U'  (14sq) 
U R B R' M' U' U' M U' U' R B' R' U'  (14sq) 
M' M' U R B M' D' D' M' D' D' B' R' U'  (14sq) 
U R B L M' U' U' M U' U' L' B' R' U'  (14sq) 
x2 D L M D R' U' U' M U' U' L B' R' U'  (14sq) 
U R B L' M' U' U' M U' U' L B' R' U'  (14sq) 
U R B R F' F' M F' F' R' M' B' R' U'  (14sq) 
U R B R' F' F' M F' F' R M' B' R' U'  (14sq) 
M' U' U' M' U' R B' M' B' B' M' B' R' U'  (14sq) 
U' U' M' M' U' R B' M' B' B' M' B' R' U'  (14sq) 
M U' U' M U' R B' M' B' B' M' B' R' U'  (14sq) 
x2 L' L' R' R' U R B' M' B' B' M' B' R' U'  (14sq) 
U R B L F' F' M F' F' L' M' B' R' U'  (14sq) 
U R B L' F' F' M F' F' L M' B' R' U'  (14sq) 
U R B M D' D' M D' D' M' M' B' R' U'  (14sq) 
U R B M' M' B' B' M B' B' M B' R' U'  (14sq) 
M U R B' U' R B' M' B R' U B R' U'  (14sq) 
x2 D L M D' L F' F' M F' F' R' B R' U'  (14sq) 
U R B' R M' F' F' M F' F' R' B R' U'  (14sq) 
U R B' R' M' F' F' M F' F' R B R' U'  (14sq) 
U R B M' B' B' D' D' M D' D' B R' U'  (14sq) 
U R B' L M' F' F' M F' F' L' B R' U'  (14sq) 
x2 D L M D' R' F' F' M F' F' L B R' U'  (14sq) 
U R B' L' M' F' F' M F' F' L B R' U'  (14sq) 
U R B' R D' D' M D' D' R' M' B R' U'  (14sq) 
U R B' R' D' D' M D' D' R M' B R' U'  (14sq) 
B L U' M U L' B' U R B' M' B R' U'  (14sq) 
U R B U' U' M U' U' B' B' M' B R' U'  (14sq) 
U R B' L D' D' M D' D' L' M' B R' U'  (14sq) 
U R B' L' D' D' M D' D' L M' B R' U'  (14sq) 
M' M' U R B' U' U' M' U' U' M' B R' U'  (14sq) 
U B' M B' B' M B' R B' M' M' B R' U'  (14sq) 
U R B' M B' B' M B' B' M' M' B R' U'  (14sq) 
U R B' M' M' U' U' M U' U' M B R' U'  (14sq) 
M' U R' U F' L F M F' L' F U' R U'  (14sq) 
M U R' U F' L F' M' F L' F U' R U'  (14sq) 
M B' R B' M' D B D' R' B R' U R U'  (14sq) 
M U R' U' B' R B' M' B R' B U R U'  (14sq) 
M' U R' F R F' U M U' F R' F' R U'  (14sq) 
U R' M' F D F D' M D F' D' F' R U'  (14sq) 
U R' M' F D' F D M D' F' D F' R U'  (14sq) 
M U R' B' U' R B' M' B R' U B R U'  (14sq) 
U F' F' U' M' U F' U F M F' U' F' U'  (14sq) 
U F' F' U M U' F' U F' M' F U' F' U'  (14sq) 
U F' F' U' M U F' U F' M' F U' F' U'  (14sq) 
U F U M' F M F' F' M' F M U' F' U'  (14sq) 
U' M' U M' U M' F U' F M' F' U F' U'  (14sq) 
U F U' M' F' M' F' F' M F' M U F' U'  (14sq) 
M U M' F R F M U M' U' F' R' F' U'  (14sq) 
M U M' F R F M U' M' U F' R' F' U'  (14sq) 
U' U' M' U' F R F' U M U' F R' F' U'  (14sq) 
x2 D M' B R' B L' L' R' R' M' F' R F' U'  (14sq) 
M U' U' M' U' M' F R' F M F' R F' U'  (14sq) 
M' U' U' M U' M' F R' F M F' R F' U'  (14sq) 
x2 D L' L' R' R' M F R' F M F' R F' U'  (14sq) 
U' M U M' U' U' M' U' F' F' M F' F' U'  (14sq) 
U M' U' M' U' U' M U' F' F' M F' F' U'  (14sq) 
U M' F D R' D' F M F' D R D' F' U'  (14sq) 
U M' F L' F M' U M U' M F' L F' U'  (14sq) 
U M' F L' F' M' U M U' M F L F' U'  (14sq) 
x2 D M' B L' M' D M D' L' R' R' M' F' U'  (14sq) 
M' U F L M D' F M F' D L' M' F' U'  (14sq) 
x2 D M' B R' B M B' L' L' R' M' M' F' U'  (14sq) 
L' F' M U' M' U F L U M' F M F' U'  (14sq) 
U B L F L F L' L' B' U' F' U' F U'  (14sq) 
L U L D F D' F L' U' L' F' U' F U'  (14sq) 
U F' F' U M U' F U F M' F' U' F U'  (14sq) 
U F' F' U' M U F U F M' F' U' F U'  (14sq) 
U F' F' U' M' U F U F' M F U' F U'  (14sq) 
U F U L D R F' F' R' D' L' U' F U'  (14sq) 
L' M' U' M' M' U L U F' U M' U' F U'  (14sq) 
R' F' M' M' F R M' U F' U M' U' F U'  (14sq) 
U F' U M' F' M F' F' M' F' M U' F U'  (14sq) 
U' M' U M' U M' F' U' F' M' F U F U'  (14sq) 
U L F' F' L' U' F' L' U' U' L U F U'  (14sq) 
U F' U' M' F M' F' F' M F M U F U'  (14sq) 
U F D' L' U' L' U' U' L U L D F U'  (14sq) 
U L F' F' L' F' L' B' U' U' B L F U'  (14sq) 
U L F L F L' L' B' U' F' U' B F U'  (14sq) 
R' F' R M U R F U F' R' F' M' F U'  (14sq) 
U F' R' M F' M F R F M' F' M' F U'  (14sq) 
R' F' M F R U F' M F M' F' M' F U'  (14sq) 
U F' L' U' M U L M F M' F' M' F U'  (14sq) 
D R' D U B U B U B' B' D' R' D' U'  (14sq) 
M U D F D R U' M' U R' D' F' D' U'  (14sq) 
M' D U F D' R U M U' R' D F' D' U'  (14sq) 
M' D M D M' U M U M U' D' M' D' U'  (14sq) 
D U M' U' M' D M U M' D' M' M' D' U'  (14sq) 
D U R' F' M' B M F M' B' R M D' U'  (14sq) 
U M' U M D M' D M U' M' D' M D' U'  (14sq) 
U L U M' F' L F M F' L' F U' L' U'  (14sq) 
U L F' F' U M U' F' F' U M' U' L' U'  (14sq) 
U L U' F L' M U M' U' L F' U L' U'  (14sq) 
U L U' M B' R B' M' B R' B U L' U'  (14sq) 
x2 D L' R' R' M F R' F M F' R F' L' U'  (14sq) 
U L' L' R' D L' M' F M F' R F' L' U'  (14sq) 
x2 D R M' M' D L' M' F M F' R F' L' U'  (14sq) 
x2 D L' L' R' U R' U M U' L M F' L' U'  (14sq) 
U R M' M' U R' U M U' L M F' L' U'  (14sq) 
U L M' F L' M' U M U' L M F' L' U'  (14sq) 
L U M' F' U R' F' R F M U' F L' U'  (14sq) 
U L' L' M' F R' F M F' R F' L' L' U'  (14sq) 
x2 D R' R' M F R' F M F' R F' L' L' U'  (14sq) 
U L' R' D L' M' F M F' R F' L' L' U'  (14sq) 
x2 D L' R' U R' U M U' L M F' L' L' U'  (14sq) 
U L' U M' F' L F M F' L' F U' L U'  (14sq) 
M' M' U L' B M' B' U B' M' B U' L U'  (14sq) 
U L' F' F' U M U' F' F' U M' U' L U'  (14sq) 
U L' U' M B' R B' M' B R' B U L U'  (14sq) 
U R' D R' D M D' L' R' R' M' F' L U'  (14sq) 
U L' M' F L' M' U M U' L M F' L U'  (14sq) 
U F' F' L' F' L' B' U' U' B L F L U'  (14sq) 
U L' B' F' R' F' M F R F M' B L U'  (14sq) 
B' U' M' U B M' U L' M' B' M' B L U'  (14sq) 
U B U M' F' L F M F' L' F U' B' U'  (14sq) 
U B U M F' L F' M' F L' F U' B' U'  (14sq) 
U M' B U M B' B' M B' M' B' U' B' U'  (14sq) 
U M' B U' B' M B M' U' U' M U' B' U'  (14sq) 
U B F U' F' M' F U F' U M U' B' U'  (14sq) 
U B F U' F M F' U F' U' M' U B' U'  (14sq) 
B' U' B' B' U M B U B U M' U B' U'  (14sq) 
U B R B M' U' U' M U' U' B' R' B' U'  (14sq) 
M' M' U B R B' M' B' B' M' B' R' B' U'  (14sq) 
U B R B' D' D' M D' D' M' B R' B' U'  (14sq) 
U M B' B' M B' R B' M' M' B R' B' U'  (14sq) 
U M' U' M' M' U B' B' U M' U' B' B' U'  (14sq) 
M U R' U M U' R B' M' B' B' M' B' U'  (14sq) 
U B' M' U B' M B U' B M B M' B' U'  (14sq) 
U B M U M' F' F' M F' F' U' M' B' U'  (14sq) 
M' M' U B M U' M' U' U' M' U' M' B' U'  (14sq) 
U B M U' B' B' M B' B' M' U M' B' U'  (14sq) 
U R B M' M' B' R' B' M B' B' M B' U'  (14sq) 
M B' M B U' M' U' M' U' M' B M B' U'  (14sq) 
U B' U M' F' L F M F' L' F U' B U'  (14sq) 
U B' U M F' L F' M' F L' F U' B U'  (14sq) 
U M' B' U M B' B' M B M' B U' B U'  (14sq) 
U B' F' F' U M U' F' F' U M' U' B U'  (14sq) 
U M' B' U' B M B' M' U' U' M U' B U'  (14sq) 
U B' F' U' F M' F' U F U M U' B U'  (14sq) 
U' U' M U' B' U' R B' M' B R' U B U'  (14sq) 
M U B' U' L M U' M' U L' M' U B U'  (14sq) 
U B' F' U' F' M F U F U' M' U B U'  (14sq) 
M U B' R U' R B' M' B R' U R' B U'  (14sq) 
U B' R B M' U' U' M U' U' B' R' B U'  (14sq) 
M' M' U B' R B' M' B' B' M' B' R' B U'  (14sq) 
U B' R B' D' D' M D' D' M' B R' B U'  (14sq) 
M U B' R' U' R B' M' B R' U R B U'  (14sq) 
M U B' L' D R' B M' B' R D' L B U'  (14sq) 
M U B' M B R' U M' U' R B' M' B U'  (14sq) 
U B M' U B M B' U' B' M B' M' B U'  (14sq) 
U B' M U M' F' F' M F' F' U' M' B U'  (14sq) 
M' M' U B' M U' M' U' U' M' U' M' B U'  (14sq) 
U B' M U' B' B' M B' B' M' U M' B U'  (14sq) 
M B M B' U' M' U' M' U' M' B' M B U'  (14sq) 
F' U M U' M' F U F U M U' F' M' U'  (14sq) 
U M F' U M U' R U' M' U R' F M' U'  (14sq) 
F U M U' M' F' U F' U M U' F M' U'  (14sq) 
x2 D L M F L M D M D' R' D' R' M' U'  (14sq) 
U L M B R B M B' L' M' D' R' M' U'  (14sq) 
U R D L M B M B' L' M' D' R' M' U'  (14sq) 
D' M' U M D L R F M F' L' R' M' U'  (14sq) 
U L R D R D M D' R' D' L' R' M' U'  (14sq) 
x2 D L' M' B L' M' D M D' R D' R M' U'  (14sq) 
U L' M' F R' F M F' L M D' R M' U'  (14sq) 
U R' D L' M' F M F' L M D' R M' U'  (14sq) 
U L' R' D R' D M D' R D' L R M' U'  (14sq) 
B' U' M' U B M' U R' U' M' U R M' U'  (14sq) 
x2 U D L' L' M' M' D M D' R' R' D' M' U'  (14sq) 
F M' F' D' D' F M F' U M D' D' M' U'  (14sq) 
F' M' F D' D' F' M F U M D' D' M' U'  (14sq) 
x2 U D L' R' M' B M B' L' R' M' D' M' U'  (14sq) 
D U L R M B M B' L' R' M' D' M' U'  (14sq) 
x2 U D R' R' U M U' L' L' M' M' D' M' U'  (14sq) 
D U L' R' M' F M F' L R M D' M' U'  (14sq) 
x2 U D L R M F M F' L R M D' M' U'  (14sq) 
D' B D' B U M U' B' D B' U D M' U'  (14sq) 
D' B' D' B' U M U' B D B U D M' U'  (14sq) 
M U' M' U' U' B' B' U' M U B' B' M' U'  (14sq) 
M' U B' B' U' U' M U M U B' B' M' U'  (14sq) 
B' U' M' B' U M' B U B M' U B' M' U'  (14sq) 
M' U M' B' L' D B' M' B D' L B M' U'  (14sq) 
U M B' L U' M' U L' U M U' B M' U'  (14sq) 
L U L D F D' L' U' F M F' L' M' U'  (14sq) 
U L D R' R' D M D' R' R' D' L' M' U'  (14sq) 
U L M U M' F' F' M F' F' U' L' M' U'  (14sq) 
U R B L F' F' M F' F' R' U' L' M' U'  (14sq) 
U R B R' F' F' M F' F' L U' L' M' U'  (14sq) 
M' M' U L M U' M' U' U' M' U' L' M' U'  (14sq) 
U R B' L D' D' M D' D' R' U L' M' U'  (14sq) 
U R B' R' D' D' M D' D' L U L' M' U'  (14sq) 
U L M U' B' B' M B' B' M' U L' M' U'  (14sq) 
U L' D R' R' D M D' R' R' D' L M' U'  (14sq) 
U L' M U M' F' F' M F' F' U' L M' U'  (14sq) 
M' M' U L' M U' M' U' U' M' U' L M' U'  (14sq) 
U L' M U' B' B' M B' B' M' U L M' U'  (14sq) 
M' M' U' U' F' F' U M' U' F' F' U' M' U'  (14sq) 
M' U' U' M' F' F' U M' U' F' F' U' M' U'  (14sq) 
U' U' M' M' F' F' U M' U' F' F' U' M' U'  (14sq) 
M U' U' M F' F' U M' U' F' F' U' M' U'  (14sq) 
M' U' U' F' F' M' U M' U' F' F' U' M' U'  (14sq) 
U' U' M' F' F' M' U M' U' F' F' U' M' U'  (14sq) 
U' U' F' F' M' M' U M' U' F' F' U' M' U'  (14sq) 
M U' U' F' F' M U M' U' F' F' U' M' U'  (14sq) 
U' U' M F' F' M U M' U' F' F' U' M' U'  (14sq) 
M' M' U' M' U' M F' F' M' F' F' U' M' U'  (14sq) 
U M U M' F' R' F' M F R F U' M' U'  (14sq) 
