M B' R B' M' B R' B  (8sq*) 
B' D' R' D' R' D R D R D R' B  (12sq) 
B' R B' M' B D' B M B' D R' B  (12sq) 
B' R B' M' B D' B' M B D R' B  (12sq) 
B' L B' M B R B' M' B L' R' B  (12sq) 
M' B' R B U' U' M U' U' B' R' B  (12sq) 
M B' R B D' D' M' D' D' B' R' B  (12sq) 
M B' R B' M' M' B' B' M B' R' B  (12sq) 
M B' R B' U' U' M' U' U' B R' B  (12sq) 
M' B' R B' D' D' M D' D' B R' B  (12sq) 
F' F' M B' F' F' R B' M' B R' B  (12sq) 
D' D' M D' D' B' R B' M' B R' B  (12sq) 
U' U' M U' U' B' R B' M' B R' B  (12sq) 
x2 L' L' R' R' M' B' R B' M' B R' B  (12sq) 
M' M' B' B' M' B R B' M' B R' B  (12sq) 
M' B' B' M' M' B R B' M' B R' B  (12sq) 
x2 M F' L' L' R' M' M' B' M' B R' B  (12sq) 
M' B' R B M' B' B' M' M' B R' B  (12sq) 
x2 M F' R F' L' L' R' R' M B R' B  (12sq) 
M B' D' R D B' M' B D' R' D B  (12sq) 
M B' L B M U' M' U M' B' L' B  (12sq) 
M B' L B' M U' M' U M' B L' B  (12sq) 
B' M U' M' U B' U' M U B M' B  (12sq) 
x2 M F' L' R' R' M' U' M' U L' M' B  (12sq) 
B' B' M B L M U' M' U L' M' B  (12sq) 
B' R' M U' M U R U' M' U M' B  (12sq) 
B' L' B' M B L M U' M' U M' B  (12sq) 
M F' R' F M' F' R F' M F' F' M'  (12sq) 
M' F' R' F' M F R F' M F' F' M'  (12sq) 
L R B M B M' B M B L' R' M'  (12sq) 
x2 R' U' R' U' M' U R U L' L' R' M'  (12sq) 
x2 L' R' U' R' U' M' U R U L' R' M'  (12sq) 
x2 L' L' R' U' R' U' M' U R U R' M'  (12sq) 
R M' M' U' R' U' M' U R U R' M'  (12sq) 
L M' F' L' M' U' M' U R U R' M'  (12sq) 
x2 L M' B' R' B' M' B L M U R' M'  (12sq) 
x2 L R U' R U' M' U R' U L R M'  (12sq) 
R' M' M' U' R U' M' U R' U R M'  (12sq) 
L' M B' L M U' M' U R' U R M'  (12sq) 
x2 L' M F' R F' M' F L' M' U R M'  (12sq) 
D' D' B U B M B' U' B' D' D' M'  (12sq) 
D' D' B U B' M B U' B' D' D' M'  (12sq) 
D' D' B' U B M B' U' B D' D' M'  (12sq) 
D' D' B' U B' M B U' B D' D' M'  (12sq) 
D B U B' D M D' B U' B' D' M'  (12sq) 
D B' U B D M D' B' U' B D' M'  (12sq) 
M D M D M' U M D' M' U' D' M'  (12sq) 
D' B U B' D' M D B U' B' D M'  (12sq) 
D' B' U B D' M D B' U' B D M'  (12sq) 
M B R B M' B' R' B M B' B' M'  (12sq) 
M' B R B' M B R' B M B' B' M'  (12sq) 
B U B U' U' M U' U' B' U' B' M'  (12sq) 
M' B' B' M' B' U B M' B' U' B' M'  (12sq) 
B' B' M' M' B' U B M' B' U' B' M'  (12sq) 
M B' B' M B' U B M' B' U' B' M'  (12sq) 
x2 L' L' R' R' B U B M' B' U' B' M'  (12sq) 
B U B' D' D' M D' D' B U' B' M'  (12sq) 
B U B M' M' B' B' M' B U' B' M'  (12sq) 
B' U B D' D' M D' D' B' U' B M'  (12sq) 
B' U B' M' M' B' B' M' B' U' B M'  (12sq) 
B' U B' U' U' M U' U' B U' B M'  (12sq) 
x2 L' L' R' R' B' U B' M' B U' B M'  (12sq) 
M' B' B' M' B U B' M' B U' B M'  (12sq) 
B' B' M' M' B U B' M' B U' B M'  (12sq) 
M B' B' M B U B' M' B U' B M'  (12sq) 
x2 L' R' R' B U B M' B' U' B' L' M'  (12sq) 
L M' M' B U B M' B' U' B' L' M'  (12sq) 
x2 L' R' R' B' U B' M' B U' B L' M'  (12sq) 
L M' M' B' U B' M' B U' B L' M'  (12sq) 
x2 R' R' B U B M' B' U' B' L' L' M'  (12sq) 
x2 R' R' B' U B' M' B U' B L' L' M'  (12sq) 
L U F U' F M F' U F' U' L' M'  (12sq) 
L U F' U' F' M F U F U' L' M'  (12sq) 
L U' B U' B M B' U B' U L' M'  (12sq) 
L U' B' U' B' M B U B U L' M'  (12sq) 
L' M' M' B U B M' B' U' B' L M'  (12sq) 
L' M' M' B' U B' M' B U' B L M'  (12sq) 
L' U F U' F M F' U F' U' L M'  (12sq) 
L' U F' U' F' M F U F U' L M'  (12sq) 
L' U' B U' B M B' U B' U L M'  (12sq) 
L' U' B' U' B' M B U B U L M'  (12sq) 
F' M F U F' M' F' M F' F' U' M'  (12sq) 
F M F' U F M' F M F' F' U' M'  (12sq) 
U L F U' F M F' U F' L' U' M'  (12sq) 
U L F' U' F' M F U F L' U' M'  (12sq) 
U L' F U' F M F' U F' L U' M'  (12sq) 
U L' F' U' F' M F U F L U' M'  (12sq) 
M U' U' F M F' U F M' F' U M'  (12sq) 
U' U' M F M F' U F M' F' U M'  (12sq) 
M U' U' F' M F U F' M' F U M'  (12sq) 
U' U' M F' M F U F' M' F U M'  (12sq) 
U' R B U' B M B' U B' R' U M'  (12sq) 
U' R B' U' B' M B U B R' U M'  (12sq) 
U' R' B U' B M B' U B' R U M'  (12sq) 
U' R' B' U' B' M B U B R U M'  (12sq) 
M U' M' B R B' M B R' B' U M'  (12sq) 
M' M' U' B U' B' M' B U B' U M'  (12sq) 
M' M' U' B' U' B M' B' U B U M'  (12sq) 
M F U F M F' U' F' U' M' U M'  (12sq) 
M F' U F' M F U' F U' M' U M'  (12sq) 
B' L' B' M B L B M U' M' U M'  (12sq) 
M' U' F U' F M' F' U F' M' U M'  (12sq) 
M U' F U' F' M F U F' M' U M'  (12sq) 
M U' F' U' F M F' U F M' U M'  (12sq) 
M' U' F' U' F' M' F U F M' U M'  (12sq) 
R' M' U F U M' U' F' U' R M' M'  (12sq) 
R' M' U' F U' M' U F' U R M' M'  (12sq) 
B' U B M B' U' B' M B' B' M' M'  (12sq) 
B' U B' M B U' B' M B' B' M' M'  (12sq) 
B U B M B' U' B M B' B' M' M'  (12sq) 
B U B' M B U' B M B' B' M' M'  (12sq) 
U' U' M U' M U M' U M U M' M'  (12sq) 
L M U M U M' U M U L' M' M'  (12sq) 
L M' F' R' F' M' F R F L' M' M'  (12sq) 
L' M U M U M' U M U L M' M'  (12sq) 
L' M' F' R' F' M' F R F L M' M'  (12sq) 
R' D' L' M' F' M' F R F L M' M'  (12sq) 
x2 R' U' R' U' M' U L M F L M' M'  (12sq) 
F' F' M' F R' F' M' F R F M' M'  (12sq) 
M' F' L' M' U' M' U L M F M' M'  (12sq) 
M' B' R B M' B' R' B' M B' B' M  (12sq) 
M B' R B' M B R' B' M B' B' M  (12sq) 
R' R' F D F M' F' D' F' R' R' M  (12sq) 
R' R' F' D F' M' F D' F R' R' M  (12sq) 
L R D' R D' M' D R' D L' R' M  (12sq) 
x2 L M F' L M D' M' D R' D R' M  (12sq) 
L M B' R B' M' B L' M' D R' M  (12sq) 
R D' L M B' M' B L' M' D R' M  (12sq) 
R' M' M' F M F M' F M F R M  (12sq) 
x2 L R F M F M' F M F L R M  (12sq) 
L' R' D' R' D' M' D R D L R M  (12sq) 
x2 L' M' B' L' M' D' M' D R D R M  (12sq) 
L' M' F' R' F' M' F L M D R M  (12sq) 
R' D' L' M' F' M' F L M D R M  (12sq) 
M' M' U' B' B' U' M U B' B' U M  (12sq) 
M' U' M B R B M' B' R' B' U M  (12sq) 
M U' R' F' M' F' F' M' F' R U M  (12sq) 
M F' F' U M U' F' F' U' M U M  (12sq) 
F' F' M U M U' F' F' U' M U M  (12sq) 
M U' M' U' M' U' U' M' U' M U M  (12sq) 
