U M U M U' R' U' M' U L F' M'  (12sq) 
x2 D' R U' M' D' M U M' D L' F M'  (12sq) 
L' L' B M B M' B M B L' R' M'  (12sq) 
L' B M B M' B M B L' L' R' M'  (12sq) 
x2 R' R' U' R' U' M' U R U L' R' M'  (12sq) 
x2 L' R' R' U' R' U' M' U R U R' M'  (12sq) 
L M' M' U' R' U' M' U R U R' M'  (12sq) 
x2 R M F' L' M' U' M' U R U R' M'  (12sq) 
R M B' R' B' M' B L M U R' M'  (12sq) 
x2 L' L' U' R U' M' U R' U L R M'  (12sq) 
R' M B' L M U' M' U R' U R M'  (12sq) 
x2 R' M F' R F' M' F L' M' U R M'  (12sq) 
x2 L' U' L M F' M' F L' M' U R M'  (12sq) 
x2 B' R D' M' U M D M' U' L' D M'  (12sq) 
D L M B M' B' R' B M B' B' M'  (12sq) 
x2 U R U M' U' L' M' B M B' B' M'  (12sq) 
D M B M' B' R' B M B' L B' M'  (12sq) 
x2 L R B U B M' B' U' B' L' L' M'  (12sq) 
x2 L R B' U B' M' B U' B L' L' M'  (12sq) 
x2 R U' B U' B' M' B U B' U L' M'  (12sq) 
x2 R U' B' U' B M' B' U B U L' M'  (12sq) 
R' M' M' B U B M' B' U' B' L M'  (12sq) 
R' M' M' B' U B' M' B U' B L M'  (12sq) 
R' U F U' F M F' U F' U' L M'  (12sq) 
R' U F' U' F' M F U F U' L M'  (12sq) 
R' U' B U' B M B' U B' U L M'  (12sq) 
R' U' B' U' B' M B U B U L M'  (12sq) 
x2 F L' U M' U M U M' U R U' M'  (12sq) 
B' L U B' U' M U B U' R' U M'  (12sq) 
B' L U' B' U M U' B U R' U M'  (12sq) 
B' M' D L M B' M B R' B' U M'  (12sq) 
x2 F' M' U R U' M U L' M' B' U M'  (12sq) 
B' R' B R B' M B R' B' L U M'  (12sq) 
x2 L' M U F U M' U' F' U' R M' M'  (12sq) 
x2 L' M U' F U' M' U F' U R M' M'  (12sq) 
x2 R M' U M U M' U M U L' M' M'  (12sq) 
x2 R M F' R' F' M' F R F L' M' M'  (12sq) 
R' M U M U M' U M U L M' M'  (12sq) 
R' M' F' R' F' M' F R F L M' M'  (12sq) 
x2 M' M' D' L' M' F' M' F R F M' M'  (12sq) 
M' M' U' R' U' M' U L M F M' M'  (12sq) 
D' L M B' M B R' B' M B' B' M  (12sq) 
x2 U' R U' M U L' M' B' M B' B' M  (12sq) 
L R F D F M' F' D' F' R' R' M  (12sq) 
L R F' D F' M' F D' F R' R' M  (12sq) 
L' D' R D' M' D R' D L' L' R' M  (12sq) 
L' L' D' R D' M' D R' D L' R' M  (12sq) 
R M' F' L M D' M' D R' D R' M  (12sq) 
x2 R M' B' R B' M' B L' M' D R' M  (12sq) 
L D' L M B' M' B L' M' D R' M  (12sq) 
x2 L' L' F M F M' F M F L R M  (12sq) 
R' R' D' R' D' M' D R D L R M  (12sq) 
x2 L' M' M' D' R' D' M' D R D R M  (12sq) 
x2 R' M' B' L' M' D' M' D R D R M  (12sq) 
R' M' F' R' F' M' F L M D R M  (12sq) 
x2 F' L' M' F' M' F' F' M' F' R U M  (12sq) 
B' R' U' M' U' U' M' U' L M U M  (12sq) 
x2 D L' M' F' M F R F M F' F' M  (12sq) 
U R' U' M U L M F M F' F' M  (12sq) 
x2 R U' B' B' U' M U B' B' U L' M  (12sq) 
R' D' R' R' D' M' D R' R' D L M  (12sq) 
x2 M' B' L' R' M' D' M' D R' R' D M  (12sq) 
M' F' L R M D' M' D R' R' D M  (12sq) 
x2 M' B' R' R' B' M' B L' R' M' D M  (12sq) 
M' F' R' R' F' M' F L R M D M  (12sq) 
x' U' U' R F' L F' M' F L' F R' U' U'  (13sq) 
x' U' U' R' F' L F' M' F L' F R U' U'  (13sq) 
x' U' M' U' M' F' F' U M U' F' F' U' U'  (13sq) 
x' M' M' U' U' F' L F M F' L' F U' U'  (13sq) 
x' M' U' U' M' F' L F M F' L' F U' U'  (13sq) 
x' U' U' M' M' F' L F M F' L' F U' U'  (13sq) 
x' M U' U' M F' L F M F' L' F U' U'  (13sq) 
x' M U' U' M' F' L F' M' F L' F U' U'  (13sq) 
x' M' U' U' M F' L F' M' F L' F U' U'  (13sq) 
x' U' U' F' R M' U' M' U R' M F U' U'  (13sq) 
x' B R B' M B R' B' M' U' U' M' U' U'  (13sq) 
x' F R' F M' F' R F' M U' U' M' U' U'  (13sq) 
x' U' B L' B M B' L B' M' U' M' U' U'  (13sq) 
x' U' B' R B' M B R' B M' U' M' U' U'  (13sq) 
x' M' U F' F' U M U' F' F' U M' U' U'  (13sq) 
x' M' U F' F' U' M U F' F' U M' U' U'  (13sq) 
x' U' U' B' L' B M B' L B M' M' U' U'  (13sq) 
x' B R B M B' R' B' U' U' M' M' U' U'  (13sq) 
x' M' M' U' M' U' M U' M' U M' M' U' U'  (13sq) 
x' M U' F M F' U' F M' F' M' M' U' U'  (13sq) 
x' M U' F' M F U' F' M' F M' M' U' U'  (13sq) 
x' M U' M B M' B' U' B M B' M U' U'  (13sq) 
x' M U' M B' M' B U' B' M B M U' U'  (13sq) 
x' M U' B U' B' M B U B' U' M U' U'  (13sq) 
x' M U' B' U' B M B' U B U' M U' U'  (13sq) 
x' M' B U B' M' B U' B' U' U' M U' U'  (13sq) 
x' M' B' U B M' B' U' B U' U' M U' U'  (13sq) 
x' F' R' F M' F' R F M' U' U' M U' U'  (13sq) 
x' B' R B' M B R' B M U' U' M U' U'  (13sq) 
x' M' U F U' F' M' F U F' U M U' U'  (13sq) 
x' M' U F' U' F M' F' U F U M U' U'  (13sq) 
x' M U' U' F U F' M F U' F' M U' U'  (13sq) 
x' U' U' M F U F' M F U' F' M U' U'  (13sq) 
x' M U' U' F' U F M F' U' F M U' U'  (13sq) 
x' U' U' M F' U F M F' U' F M U' U'  (13sq) 
x' U R U F' L F' M' F L' F U' R' U'  (13sq) 
x' R B' R D B' D' M' B R' B U R' U'  (13sq) 
x' U R U' B' R B' M' B R' B U R' U'  (13sq) 
x' M U L R B' M' B' B' M' B' L' R' U'  (13sq) 
x' M' U R B M' U' U' M U' U' B' R' U'  (13sq) 
x' M U R B M' D' D' M' D' D' B' R' U'  (13sq) 
x' U' U' M U' R B' M' B' B' M' B' R' U'  (13sq) 
x' U R B' U' R B' M' B R' U B R' U'  (13sq) 
x' M' U R B' D' D' M D' D' M' B R' U'  (13sq) 
x' M U R B' U' U' M' U' U' M' B R' U'  (13sq) 
x' U R' U F' L F' M' F L' F U' R U'  (13sq) 
x' B' R B' M' D B D' R' B R' U R U'  (13sq) 
x' U R' U' B' R B' M' B R' B U R U'  (13sq) 
x' U R' B' U' R B' M' B R' U B R U'  (13sq) 
x' U M' F R F M U M' U' F' R' F' U'  (13sq) 
x' U M' F R F M U' M' U F' R' F' U'  (13sq) 
x' M' M' U F R F' U M U' F R' F' U'  (13sq) 
x' U' U' M' U' M' F R' F M F' R F' U'  (13sq) 
x' M' U M' F L' M' U M U' L M F' U'  (13sq) 
x' U D F D R U' M' U R' D' F' D' U'  (13sq) 
x' M' U L M' F R' F M F' R F' L' U'  (13sq) 
x' M U L' B M' B' U B' M' B U' L U'  (13sq) 
x' M' U L' M' F R' F M F' R F' L U'  (13sq) 
x' M' U R' D L' M' F M F' R F' L U'  (13sq) 
x M' D R' U R' U M U' L M F' L U'  (13sq) 
x' M U B R B' M' B' B' M' B' R' B' U'  (13sq) 
x' U R' U M U' R B' M' B' B' M' B' U'  (13sq) 
x' M U B M U' M' U' U' M' U' M' B' U'  (13sq) 
x' B' M B U' M' U' M' U' M' B M B' U'  (13sq) 
x' U B' U' L M U' M' U L' M' U B U'  (13sq) 
x' U B' R U' R B' M' B R' U R' B U'  (13sq) 
x' M U B' R B' M' B' B' M' B' R' B U'  (13sq) 
x' U B' R' U' R B' M' B R' U R B U'  (13sq) 
x' U B' L' D R' B M' B' R D' L B U'  (13sq) 
x' U B' M B R' U M' U' R B' M' B U'  (13sq) 
x' M U B' M U' M' U' U' M' U' M' B U'  (13sq) 
x' B M B' U' M' U' M' U' M' B' M B U'  (13sq) 
x' M' U R D R D M D' R' D' R' M' U'  (13sq) 
x' M' U R' D R' D M D' R D' R M' U'  (13sq) 
x' M' D U R' R' D M D' R' R' D' M' U'  (13sq) 
x' U' M' U' U' B' B' U' M U B' B' M' U'  (13sq) 
x' M U L M U' M' U' U' M' U' L' M' U'  (13sq) 
x' M U L' M U' M' U' U' M' U' L M' U'  (13sq) 
x' M U' U' F' F' U M' U' F' F' U' M' U'  (13sq) 
x' U' U' M F' F' U M' U' F' F' U' M' U'  (13sq) 
x' U' U' F' F' M U M' U' F' F' U' M' U'  (13sq) 
x' M U' M' U' M F' F' M' F' F' U' M' U'  (13sq) 
x' M' U M U M' F' F' M F' F' U' M' U'  (13sq) 
x' M U M U M' B' B' M' B' B' U' M' U'  (13sq) 
x' M' U' M' U' M B' B' M B' B' U' M' U'  (13sq) 
x' M U' D' D' M' U' M D' D' M' U' M' U'  (13sq) 
x' D' D' M U' M' U' M D' D' M' U' M' U'  (13sq) 
x' B M U M U' M' B' U' U' M' U' M' U'  (13sq) 
x' B' M U M U' M' B U' U' M' U' M' U'  (13sq) 
x' U' U' M U' M U' M' U' U' M' U' M' U'  (13sq) 
x' B M U' M' U M' B' U' U' M U' M' U'  (13sq) 
x' B' M U' M' U M' B U' U' M U' M' U'  (13sq) 
x' U' U' M U M' U M' U' U' M U' M' U'  (13sq) 
x' M' U' M' D' D' U' M D' D' M U' M' U'  (13sq) 
x' D' D' M U M U M D' D' M U' M' U'  (13sq) 
x' U' M' U B' L' B' M B L B U M' U'  (13sq) 
x' M' U' M' U B' B' M' B' B' M' U M' U'  (13sq) 
x' M' U M U' B' B' M B' B' M' U M' U'  (13sq) 
x' M U M U' F' F' M' F' F' M' U M' U'  (13sq) 
x' M U' M' U F' F' M F' F' M' U M' U'  (13sq) 
x' M' U M B R B M B' R' B' M' M' U'  (13sq) 
x' U' M' M' U M U M U M U' M' M' U'  (13sq) 
x' M' U' M' M' F L F' M' M' F L' F' U  (13sq) 
x' M' M' U' F' U' L F M F' L' U F U  (13sq) 
x' U' F' U' R M' U' M' U R' M U F U  (13sq) 
x' M F U F' U' M F' U' F' M U F U  (13sq) 
x' M F U' F' U' M F' U' F M U F U  (13sq) 
x' U' M' U' M' U F' R' F M F' R F U  (13sq) 
x' U' F' R' D L' F M' F' L D' R F U  (13sq) 
x' U' F' R' D L' F' M' F L D' R F U  (13sq) 
x' U' F' L U' L F' M' F L' U L' F U  (13sq) 
x' M' U' F' L F M F' F' M' F L' F U  (13sq) 
x' U' F' L' U' L F' M' F L' U L F U  (13sq) 
