x2 R' M' F R F M' F' R' F' L' R' R'  (12sq) 
x2 R' M F R F' M F R' F' L' R' R'  (12sq) 
x2 L' U L M F' M F R' F' L' R' R'  (12sq) 
L' D R D' M D L' M' F' L' R' R'  (12sq) 
x2 R' M' D' M' D M D M' D' L' R' R'  (12sq) 
x2 U L M F' M F R' F' L' L' R' R'  (12sq) 
D R D' M D L' M' F' L' L' R' R'  (12sq) 
L R D' B M B' D B M' B' R' R'  (12sq) 
L R D' B' M B D B' M' B R' R'  (12sq) 
L M F R' R' F M' F' R' R' F' R'  (12sq) 
x2 R D L' R' M' F M' F' R' R' F' R'  (12sq) 
R U L R M F M' F' R' R' F' R'  (12sq) 
L M' F R' R' F' M F R' R' F' R'  (12sq) 
x2 R D R' R' D M' D' L' R' M' F' R'  (12sq) 
R U R' R' U M' U' L R M F' R'  (12sq) 
L D' R D M D' R' D' M' D' D' R'  (12sq) 
L D' L B' M' B' B' M B' L' D R'  (12sq) 
L M' B U' U' B M B' U' U' B' R'  (12sq) 
L M' B U' U' B' M B U' U' B' R'  (12sq) 
L B' D L' D M D' L D' M' B R'  (12sq) 
L B' D' R D' M D R' D M' B R'  (12sq) 
x2 L' U R U' M' U R' U M' U' U' R  (12sq) 
x2 L' M F' M U M' U' F U M U' R  (12sq) 
x2 M' M' D F D' L' U' R' F' R U R  (12sq) 
x2 L' M F' M U' M' U F U' M U R  (12sq) 
x2 L' M' F D F D' M' D F' D' F' R  (12sq) 
x2 L' M' F D' F D M' D' F' D F' R  (12sq) 
x2 L' M F' U F U' M U F' U' F R  (12sq) 
x2 L' M F' U' F U M U' F' U F R  (12sq) 
x2 L' D' D' M D' F' D' M D F D' R  (12sq) 
x2 L' D' D' M D F' D M D' F D R  (12sq) 
R' R' M' D F' D' M D F D' L R  (12sq) 
x2 L' L' M D F' D' M D F D' L R  (12sq) 
R' R' M' D' F' D M D' F D L R  (12sq) 
x2 L' L' M D' F' D M D' F D L R  (12sq) 
x2 M D' D' M' D' L' M' F M' F' R F'  (12sq) 
x2 M' D' D' M D' L' M' F M' F' R F'  (12sq) 
U L' M' B L' L' R' R' M F' R F'  (12sq) 
x2 M' D' D' M' D' L' M' F' M F R F'  (12sq) 
x2 D' D' M' M' D' L' M' F' M F R F'  (12sq) 
x2 M D' D' M D' L' M' F' M F R F'  (12sq) 
L' L' R' R' D L' M' F' M F R F'  (12sq) 
x2 D B L' M' D' F M' F' D R D' F'  (12sq) 
U F R' F' U M' U' F L M D' F'  (12sq) 
M' U M U M U' R' U M' U' L F'  (12sq) 
U M' U M' U' R' M' U M' U' L F'  (12sq) 
U R' M' U' M' U M' U' M' U L F'  (12sq) 
M' U M U' M' U R' U' M U L F'  (12sq) 
U R' M F M' U M' U' M F' L F'  (12sq) 
U R' M F' M' U M' U' M F L F'  (12sq) 
x2 M' U M' D L' M' F' M F R B' F'  (12sq) 
M' D M' U R' U' M U L M B' F'  (12sq) 
x2 M' M' D R' D' M D L' R' R' M' F'  (12sq) 
x2 D L' D M' F M' F' M D' R M' F'  (12sq) 
x2 D L' D' M' F M' F' M D R M' F'  (12sq) 
U L' M' B M' B' L' L' R' M' M' F'  (12sq) 
M U' U' M' U' R' U M' U' L M F'  (12sq) 
M' U' U' M U' R' U M' U' L M F'  (12sq) 
x2 D R' D L' L' R' R' M U' L M F'  (12sq) 
M' U' U' M' U' R' U' M U L M F'  (12sq) 
U' U' M' M' U' R' U' M U L M F'  (12sq) 
M U' U' M U' R' U' M U L M F'  (12sq) 
x2 L' L' R' R' U R' U' M U L M F'  (12sq) 
x2 R U L' B M' B' B' M' B L U' L'  (12sq) 
x2 R F' F' U' M' U F' F' U M' U' L'  (12sq) 
x2 R U M U M' U' U' M' U M' U' L'  (12sq) 
x2 R U' M' U' M' U' U' M U M' U' L'  (12sq) 
x2 R F' F' M' F' R' F M' F' R F' L'  (12sq) 
L' L' R' M F R' F M' F' R F' L'  (12sq) 
x2 R F' F' M F' R' F' M F R F' L'  (12sq) 
L' L' R' M' F R' F' M F R F' L'  (12sq) 
L' R' R' D L' M' F' M F R F' L'  (12sq) 
x2 L M' M' D L' M' F' M F R F' L'  (12sq) 
x2 L D R' D M' D' L' R' R' M' F' L'  (12sq) 
x2 R M' F L' M' U M' U' L M F' L'  (12sq) 
x2 L' R' R' U R' U' M U L M F' L'  (12sq) 
L M' M' U R' U' M U L M F' L'  (12sq) 
x2 R M F L' M' U' M U L M F' L'  (12sq) 
x2 L R M' F R' F M' F' R F' L' L'  (12sq) 
L' R' M F R' F M' F' R F' L' L'  (12sq) 
x2 L' L' D L' M' F M' F' R F' L' L'  (12sq) 
L' R' M' F R' F' M F R F' L' L'  (12sq) 
x2 L R M F R' F' M F R F' L' L'  (12sq) 
R' R' D L' M' F' M F R F' L' L'  (12sq) 
L' L' U R' U M' U' L M F' L' L'  (12sq) 
x2 R' R' U R' U' M U L M F' L' L'  (12sq) 
R' U M' F' L F' M F L' F U' L  (12sq) 
R' F' F' M F' R' F M' F' R F' L  (12sq) 
R' F' F' M' F' R' F' M F R F' L  (12sq) 
x2 L' M' M' D L' M' F' M F R F' L  (12sq) 
R' B M' F R' F' M F R B' F' L  (12sq) 
x2 L' D R' D M' D' L' R' R' M' F' L  (12sq) 
R' M F L' M' U M' U' L M F' L  (12sq) 
L' M' M' U R' U' M U L M F' L  (12sq) 
R' M' F L' M' U' M U L M F' L  (12sq) 
M' D R' F R' F' M F R F' L B'  (12sq) 
D' L M B' M B R' B' M' M' B' B'  (12sq) 
x2 U' R U' M U L' M' B' M' M' B' B'  (12sq) 
M' D' R' F R' F' M F R F' L B  (12sq) 
x2 D R U' M' D' M U M' D L' F' M'  (12sq) 
U' M U M U' R' U' M' U L F M'  (12sq) 
L R B D' B' M B D B' R' R' M'  (12sq) 
L R B' D' B M B' D B R' R' M'  (12sq) 
x2 L' R' R' D R D M' D' R' D' R' M'  (12sq) 
L M' M' D R D M' D' R' D' R' M'  (12sq) 
R M F L M D M' D' R' D' R' M'  (12sq) 
R M' F L M D' M D R' D' R' M'  (12sq) 
x2 R M B R B M' B' L' M' D' R' M'  (12sq) 
x2 R M' B R B' M B L' M' D' R' M'  (12sq) 
L D L M B' M B L' M' D' R' M'  (12sq) 
x2 L' R' R' B' M' B M B M' B' R' M'  (12sq) 
L M' M' B' M' B M B M' B' R' M'  (12sq) 
x2 R' R' D R D M' D' R' D' L' R' M'  (12sq) 
L' L' D R D' M D R' D' L' R' M'  (12sq) 
x2 R' R' B' M' B M B M' B' L' R' M'  (12sq) 
L' D R D' M D R' D' L' L' R' M'  (12sq) 
L M B' U M U' B U M' U' R' M'  (12sq) 
L M B' U' M U B U' M' U R' M'  (12sq) 
x2 R' M B L' M' D M' D' R D' R M'  (12sq) 
x2 L' M' M' D R' D' M D R D' R M'  (12sq) 
x2 R' M' B L' M' D' M D R D' R M'  (12sq) 
R' M F R' F M' F' L M D' R M'  (12sq) 
x2 L' D L' M' F M' F' L M D' R M'  (12sq) 
R' M' F R' F' M F L M D' R M'  (12sq) 
x2 L' L' D R' D M' D' R D' L R M'  (12sq) 
R' R' D R' D' M D R D' L R M'  (12sq) 
x2 M B L' R' M' D M' D' R' R' D' M'  (12sq) 
M F L R M D M' D' R' R' D' M'  (12sq) 
x2 M' B L' R' M' D' M D R' R' D' M'  (12sq) 
M' F L R M D' M D R' R' D' M'  (12sq) 
x2 M B R' R' B M' B' L' R' M' D' M'  (12sq) 
x2 M' B R' R' B' M B L' R' M' D' M'  (12sq) 
M F R' R' F M' F' L R M D' M'  (12sq) 
M' F R' R' F' M F L R M D' M'  (12sq) 
D' L M B M B' R' B' M' B' B' M'  (12sq) 
