M F' F' U' M' U' M U' M' U' F' F'  (12sq) 
F' F' M U' M' U' M U' M' U' F' F'  (12sq) 
F' F' M' B R B M B' R' B' F' F'  (12sq) 
M F' R' F M F' R F' M' M' F' F'  (12sq) 
B U B' M' B U' F' F' B' M F' F'  (12sq) 
U M' F' M F U' F' M' F' M F' F'  (12sq) 
U M' F M F' U' F M' F M F' F'  (12sq) 
F M F' M F L' M' U M' U' L F'  (12sq) 
F L' U' R M U M' U' R' U L F'  (12sq) 
F M F' M F R' F M' F' R M' F'  (12sq) 
F L D' M U' M' D M U L' M' F'  (12sq) 
F' U F' M' F' M F' M' F' M U' F  (12sq) 
F' U F M' F M F' M' F' M U' F  (12sq) 
M F' U' M' U F M' F' U' M U F  (12sq) 
F' D' U' R' D M' D' R D M U F  (12sq) 
F' R' F M' F' D F' M F D' R F  (12sq) 
M' D F' D R' F M F' R D' F D'  (12sq) 
M' D' D' F' R' F M F' R F D' D'  (12sq) 
D' D' M' F' R' F M F' R F D' D'  (12sq) 
D R' R' D M D' R' R' D M' D' D'  (12sq) 
B U B M' B' U' B' D' D' M D' D'  (12sq) 
B' U B' M' B U' B D' D' M D' D'  (12sq) 
M D B D' R B' M' B R' D B' D'  (12sq) 
R F' D B' D' R F R' B D' R' D  (12sq) 
M' D' F' R' D' F M F' D R F D  (12sq) 
M' D' F' D' R' F M F' R D F D  (12sq) 
M D' B R D B' M' B D' R' B' D  (12sq) 
M D' B D R B' M' B R' D' B' D  (12sq) 
L U M' U' F U F M F' U' F' L'  (12sq) 
L F' U' F M F' U F' M' F' F' L'  (12sq) 
L F U' F' M F U F M' F' F' L'  (12sq) 
L U M' U' F' U F' M F U' F L'  (12sq) 
x2 R' R' M' B R B' M' B R' B' L' L'  (12sq) 
L' L' M B R B' M' B R' B' L' L'  (12sq) 
L R D L M B' M' B R' B' L' L'  (12sq) 
x2 L R U R U' M' U L' M' B' L' L'  (12sq) 
L U M' U' B U' B M B' U B' L'  (12sq) 
L B' B' M B' R B' M' B R' B' L'  (12sq) 
x2 L' R' R' M' B R B' M' B R' B' L'  (12sq) 
x2 R U L' R' R' M' B' M' B R' B' L'  (12sq) 
L M B L M U' M' U L' M' B' L'  (12sq) 
L U M' U' B' U' B' M B U B L'  (12sq) 
L B' L U M' U' U' M U L' B L'  (12sq) 
L' U M' U' F U F M F' U' F' L  (12sq) 
L' F' U' F M F' U F' M' F' F' L  (12sq) 
L' F U' F' M F U F M' F' F' L  (12sq) 
L' U M' U' F' U F' M F U' F L  (12sq) 
U R' F' U F' R U L' B' U B' L  (12sq) 
L' U M' U' B U' B M B' U B' L  (12sq) 
L' B' B' M B' R B' M' B R' B' L  (12sq) 
x2 R' M' M' D L M B' M' B R' B' L  (12sq) 
R' M' M' U R U' M' U L' M' B' L  (12sq) 
L' M B L M U' M' U L' M' B' L  (12sq) 
L' U M' U' B' U' B' M B U B L  (12sq) 
L' B' L U M' U' U' M U L' B L  (12sq) 
L U R' F' U F' R U L' B' U B'  (12sq) 
M' B U' B L U' M U L' B' U B'  (12sq) 
B R' U' M' M' U R U' M' M' U B'  (12sq) 
R B U' L F' D' F D L' U R' B'  (12sq) 
B D' R' D' R' D R D R D R' B'  (12sq) 
R F' D R D' R' B D' F D R' B'  (12sq) 
R B D' B L' D' L D B' D R' B'  (12sq) 
B R B' M' B D' B M B' D R' B'  (12sq) 
B R B' M' B D' B' M B D R' B'  (12sq) 
B L B' M B R B' M' B L' R' B'  (12sq) 
M' B R B U' U' M U' U' B' R' B'  (12sq) 
M B R B D' D' M' D' D' B' R' B'  (12sq) 
M B R B' M' M' B' B' M B' R' B'  (12sq) 
M B R B' U' U' M' U' U' B R' B'  (12sq) 
R D F' R D' R' D F D' B R' B'  (12sq) 
M' B R B' D' D' M D' D' B R' B'  (12sq) 
M' M' B' B' M' B' R B' M' B R' B'  (12sq) 
M' B' B' M' M' B' R B' M' B R' B'  (12sq) 
D' D' M D' D' B R B' M' B R' B'  (12sq) 
U' U' M U' U' B R B' M' B R' B'  (12sq) 
x2 L' L' R' R' M' B R B' M' B R' B'  (12sq) 
x2 M F L' L' R' M' M' B' M' B R' B'  (12sq) 
M' B R B M' B' B' M' M' B R' B'  (12sq) 
x2 M F R F' L' L' R' R' M B R' B'  (12sq) 
M B D' R D B' M' B D' R' D B'  (12sq) 
M B L B M U' M' U M' B' L' B'  (12sq) 
M B L B' M U' M' U M' B L' B'  (12sq) 
M' M' B' U B M' B' U' B' M' B' B'  (12sq) 
M' M' B U B' M' B U' B M' B' B'  (12sq) 
M U B' U M U' M' B U' B M' B'  (12sq) 
B M U' M' U B' U' M U B M' B'  (12sq) 
x2 M F L' R' R' M' U' M' U L' M' B'  (12sq) 
B' B' M B' L M U' M' U L' M' B'  (12sq) 
B R' M U' M U R U' M' U M' B'  (12sq) 
B L' B' M B L M U' M' U M' B'  (12sq) 
U M' U' B' R U' B' M B U R' B  (12sq) 
B' L U F' F' M F' F' M' U' L' B  (12sq) 
B' L U' M F' F' M' F' F' U L' B  (12sq) 
B' L B U M' U' U' M U B' L' B  (12sq) 
B' L B' U M' U' U' M U B L' B  (12sq) 
D' B' D' M F' R' F D B D M' B  (12sq) 
M U B U M U' M' B' U' B' M' B  (12sq) 
B' M U' M' U B U' M U B' M' B  (12sq) 
B' R M' B M' B' R' B' M B M B  (12sq) 
B' L U M' U' L' M' B' M B M B  (12sq) 
B' R M' B M' B' B' M B R' M B  (12sq) 
M F' M F' U' F M' F' U F' F' M'  (12sq) 
M F M F U' F' M' F U F' F' M'  (12sq) 
M' F' R' F' M' F R F' M' F' F' M'  (12sq) 
M' F' F' M' F' U' F M' F' U F' M'  (12sq) 
F' F' M' M' F' U' F M' F' U F' M'  (12sq) 
M F' F' M F' U' F M' F' U F' M'  (12sq) 
x2 L' L' R' R' F U' F M' F' U F' M'  (12sq) 
M' F' F' M' F' U' F' M' F U F' M'  (12sq) 
F' F' M' M' F' U' F' M' F U F' M'  (12sq) 
M F' F' M F' U' F' M' F U F' M'  (12sq) 
x2 L' L' R' R' F U' F' M' F U F' M'  (12sq) 
M B F R B' M' B R' B' M F' M'  (12sq) 
x2 L' L' R' R' F' U' F M' F' U F M'  (12sq) 
M' F' F' M' F U' F M' F' U F M'  (12sq) 
F' F' M' M' F U' F M' F' U F M'  (12sq) 
M F' F' M F U' F M' F' U F M'  (12sq) 
x2 L' L' R' R' F' U' F' M' F U F M'  (12sq) 
M' F' F' M' F U' F' M' F U F M'  (12sq) 
F' F' M' M' F U' F' M' F U F M'  (12sq) 
M F' F' M F U' F' M' F U F M'  (12sq) 
x2 R' U R' U' M' U R U' L' L' R' M'  (12sq) 
x2 L' R' U R' U' M' U R U' L' R' M'  (12sq) 
x2 L' L' R' U R' U' M' U R U' R' M'  (12sq) 
R M' M' U R' U' M' U R U' R' M'  (12sq) 
L M' F L' M' U' M' U R U' R' M'  (12sq) 
x2 L M' B R' B' M' B L M U' R' M'  (12sq) 
x2 L R U R U' M' U R' U' L R M'  (12sq) 
R' M' M' U R U' M' U R' U' R M'  (12sq) 
L' M B L M U' M' U R' U' R M'  (12sq) 
x2 L' M F R F' M' F L' M' U' R M'  (12sq) 
D' D' F U' F M F' U F' D' D' M'  (12sq) 
D' D' F' U' F' M F U F D' D' M'  (12sq) 
M D' M' D M U' M' D' M U D M'  (12sq) 
M B R B M B' R' B M' B' B' M'  (12sq) 
U' B' B' M B' M' B' U B M B' M'  (12sq) 
U' B' B' M B M' B U B' M B M'  (12sq) 
x2 L' R' R' F U' F M' F' U F' L' M'  (12sq) 
L M' M' F U' F M' F' U F' L' M'  (12sq) 
x2 L' R' R' F U' F' M' F U F' L' M'  (12sq) 
L M' M' F U' F' M' F U F' L' M'  (12sq) 
x2 L' R' R' F' U' F M' F' U F L' M'  (12sq) 
L M' M' F' U' F M' F' U F L' M'  (12sq) 
x2 L' R' R' F' U' F' M' F U F L' M'  (12sq) 
L M' M' F' U' F' M' F U F L' M'  (12sq) 
x2 R' R' F U' F M' F' U F' L' L' M'  (12sq) 
x2 R' R' F U' F' M' F U F' L' L' M'  (12sq) 
x2 R' R' F' U' F M' F' U F L' L' M'  (12sq) 
x2 R' R' F' U' F' M' F U F L' L' M'  (12sq) 
L U F U F M F' U' F' U' L' M'  (12sq) 
L U F' U F' M F U' F U' L' M'  (12sq) 
L M F M F' U' F M' F' U L' M'  (12sq) 
L M F' M F U' F' M' F U L' M'  (12sq) 
L U' B U B M B' U' B' U L' M'  (12sq) 
L U' B' U B' M B U' B U L' M'  (12sq) 
L' M' M' F U' F M' F' U F' L M'  (12sq) 
L' M' M' F U' F' M' F U F' L M'  (12sq) 
L' M' M' F' U' F M' F' U F L M'  (12sq) 
L' M' M' F' U' F' M' F U F L M'  (12sq) 
L' U F U F M F' U' F' U' L M'  (12sq) 
L' U F' U F' M F U' F U' L M'  (12sq) 
L' M F M F' U' F M' F' U L M'  (12sq) 
L' M F' M F U' F' M' F U L M'  (12sq) 
L' U' B U B M B' U' B' U L M'  (12sq) 
L' U' B' U B' M B U' B U L M'  (12sq) 
U R F U F M F' U' F' R' U' M'  (12sq) 
U R F' U F' M F U' F R' U' M'  (12sq) 
U R' F U F M F' U' F' R U' M'  (12sq) 
U R' F' U F' M F U' F R U' M'  (12sq) 
M U M U' M' U' M U' M' U' U' M'  (12sq) 
F' F' M F' M F' U' F M' F' U M'  (12sq) 
F' F' M F M F U' F' M' F U M'  (12sq) 
M' M' U' B U B' M' B U' B' U M'  (12sq) 
M U' M' B' L' B M B' L B U M'  (12sq) 
M' M' U' B' U B M' B' U' B U M'  (12sq) 
U' L B U B M B' U' B' L' U M'  (12sq) 
U' L B' U B' M B U' B L' U M'  (12sq) 
U' L' B U B M B' U' B' L U M'  (12sq) 
U' L' B' U B' M B U' B L U M'  (12sq) 
M' M' B M' B' U' B M B' M' U M'  (12sq) 
M' M' B' M' B U' B' M B M' U M'  (12sq) 
