x F R' F' M F R F'  (7sq*) 
x2 M B M' U' L U' M U R' M F U'  (12sq) 
x2 M' B R' M B M' B' B' M' B L U'  (12sq) 
M' F L' U M' U' U' M' U R M' U'  (12sq) 
D R' D' L' R' U' B' R B R' R' U  (12sq) 
R' D' F D F' L' F R F' U' R U  (12sq) 
F' D F L' M' F' M F R U' F' U  (12sq) 
x2 B' U B R' U' M U L M U' F' U  (12sq) 
F' R M U' R' F M' F' R U L' U  (12sq) 
D F D' M F' U' L' M' F' R B U  (12sq) 
F' U' L' M' B U M U' B' R B U  (12sq) 
x2 U B U' M B' D' R' U' L M B U  (12sq) 
x2 B' D' R' D B M B' D' L M B U  (12sq) 
x2 L U R' U' M' U R U M' U' U' R'  (12sq) 
x2 L R M' F R F M' F' R' F' R' R'  (12sq) 
L' R' M F R F M' F' R' F' R' R'  (12sq) 
L' L' U L M F M' F' R' F' R' R'  (12sq) 
L' R' M' F R F' M F R' F' R' R'  (12sq) 
x2 L R M F R F' M F R' F' R' R'  (12sq) 
x2 R' R' U L M F' M F R' F' R' R'  (12sq) 
x2 L' L' D R D M' D' L' M' F' R' R'  (12sq) 
R' R' D R D' M D L' M' F' R' R'  (12sq) 
x2 L R M' D' M' D M D M' D' R' R'  (12sq) 
L' R' M D' M' D M D M' D' R' R'  (12sq) 
R' M F R F M' F' R' F' L' R' R'  (12sq) 
L' U L M F M' F' R' F' L' R' R'  (12sq) 
R' M' F R F' M F R' F' L' R' R'  (12sq) 
x2 L' D R D M' D' L' M' F' L' R' R'  (12sq) 
R' M D' M' D M D M' D' L' R' R'  (12sq) 
U L M F M' F' R' F' L' L' R' R'  (12sq) 
x2 D R D M' D' L' M' F' L' L' R' R'  (12sq) 
R' D' B M B' D B M' B' L' R' R'  (12sq) 
R' D' B' M B D B' M' B L' R' R'  (12sq) 
L' R' D' B M B' D B M' B' R' R'  (12sq) 
L' R' D' B' M B D B' M' B R' R'  (12sq) 
x2 L M' F R' R' F M' F' R' R' F' R'  (12sq) 
x2 L M F R' R' F' M F R' R' F' R'  (12sq) 
R D L' R' M' F' M F R' R' F' R'  (12sq) 
x2 R U L R M F' M F R' R' F' R'  (12sq) 
R D R' R' D' M D L' R' M' F' R'  (12sq) 
x2 R U R' R' U' M U L R M F' R'  (12sq) 
x2 L B' M' B D' D' B M' B' D' D' R'  (12sq) 
x2 L B' M' B D M B M' B' M' D' R'  (12sq) 
x2 L B' M' B D' M B M' B' M' D R'  (12sq) 
x2 L M B U' U' B M B' U' U' B' R'  (12sq) 
x2 L M B U' U' B' M B U' U' B' R'  (12sq) 
x2 L B' M' B' M B' M' B M' B' B' R'  (12sq) 
L' M' F' M U M' U' F U M U' R  (12sq) 
D F D' R' M F' L' M' F' R U R  (12sq) 
L' M' F' M U' M' U F U' M U R  (12sq) 
x2 U B U' R' M B' R' U' L M U R  (12sq) 
D F D' L' U' L' M' U' L M U R  (12sq) 
L' F M F M' F M F' M' F' F' R  (12sq) 
L' M F D F D' M' D F' D' F' R  (12sq) 
L' M F D' F D M' D' F' D F' R  (12sq) 
F' R U' R' U F L' U F' U' F R  (12sq) 
L' M' F' U F U' M U F' U' F R  (12sq) 
L' M' F' U' F U M U' F' U F R  (12sq) 
L' D' D' M' D' F' D' M D F D' R  (12sq) 
L' D' R' D M D' R D' M' D' D' R  (12sq) 
L' D' D' M' D F' D M D' F D R  (12sq) 
L' D F D' L' U' R' F' R U L R  (12sq) 
L' L' M' D F' D' M D F D' L R  (12sq) 
x2 R' R' M D F' D' M D F D' L R  (12sq) 
L' L' M' D' F' D M D' F D L R  (12sq) 
x2 R' R' M D' F' D M D' F D L R  (12sq) 
L' B M' D F' D' M D F D' B' R  (12sq) 
L' B M' D' F' D M D' F D B' R  (12sq) 
L' B D R' D' M D R D' M' B' R  (12sq) 
L' B' M' D F' D' M D F D' B R  (12sq) 
L' B' M' D' F' D M D' F D B R  (12sq) 
L' B' D R' D' M D R D' M' B R  (12sq) 
x2 U B U' R' M U' M U L F U' F'  (12sq) 
D F D' L' F' M F R M' F U' F'  (12sq) 
L' F U F' D R' D' R F U' R F'  (12sq) 
M' D' D' M' D' L' M' F M' F' R F'  (12sq) 
D' D' M' M' D' L' M' F M' F' R F'  (12sq) 
M D' D' M D' L' M' F M' F' R F'  (12sq) 
x2 L' L' R' R' D L' M' F M' F' R F'  (12sq) 
F' R' R' U' R' U F L' R' F R F'  (12sq) 
D' F L D' L' D' D' F' L' F R F'  (12sq) 
F D' L' F L F' D F' L' F R F'  (12sq) 
F' R F R' D' F D F' L' F R F'  (12sq) 
F' R F' U F U' R' F L' F R F'  (12sq) 
x2 U L' M' B' L' L' R' R' M' F R F'  (12sq) 
M D' D' M' D' L' M' F' M F R F'  (12sq) 
M' D' D' M D' L' M' F' M F R F'  (12sq) 
D F D' F' L' D' L' F L D R F'  (12sq) 
D B L' M' D' F' M F D R D' F'  (12sq) 
x2 U F R' F' U' M U F L M D' F'  (12sq) 
F' M' M' F D R M' F' M' F L' F'  (12sq) 
x2 M U M U M U' R' U M' U' L F'  (12sq) 
x2 M U M U' M' U R' U' M U L F'  (12sq) 
x2 U R' M F M' U' M U M F' L F'  (12sq) 
x2 U R' M F' M' U' M U M F L F'  (12sq) 
M U M' D L' M' F' M F R B' F'  (12sq) 
x2 M D M' U R' U' M U L M B' F'  (12sq) 
M' M' D R' D M' D' L' R' R' M' F'  (12sq) 
D L' D M' F' M F M D' R M' F'  (12sq) 
D L' D' M' F' M F M D R M' F'  (12sq) 
x2 U L' M' B' M B L' L' R' M' M' F'  (12sq) 
x2 B' M' M' B U L U' M' U R' M F'  (12sq) 
D L' F M F' M F M F' R M F'  (12sq) 
D M D' M D L' F' M F R M F'  (12sq) 
x2 M' U' U' M' U' R' U M' U' L M F'  (12sq) 
x2 U' U' M' M' U' R' U M' U' L M F'  (12sq) 
x2 M U' U' M U' R' U M' U' L M F'  (12sq) 
L' L' R' R' U R' U M' U' L M F'  (12sq) 
D R' D' L' L' R' R' M' U L M F'  (12sq) 
x2 M U' U' M' U' R' U' M U L M F'  (12sq) 
x2 M' U' U' M U' R' U' M U L M F'  (12sq) 
B L' M' F' R D' M D R' F R D'  (12sq) 
x2 F R' U' L M D' M D R' F R D'  (12sq) 
B R' D' R B' M B L' M' F R D'  (12sq) 
B' B' D L' M' F M F' R F' D' D'  (12sq) 
x2 F' F' U R' U M U' L M F' D' D'  (12sq) 
x2 F R' U' R F' M F R' U L M D'  (12sq) 
B' L' M' F' R D M D' R' F R D  (12sq) 
x2 F' R' U' L M D M D' R' F R D  (12sq) 
B' R' D' R B M B' L' M' F R D  (12sq) 
x2 F' R' U' R F M F' R' U L M D  (12sq) 
R U M' F' L F' M F L' F U' L'  (12sq) 
F U F' D R' D' R F U' R F' L'  (12sq) 
R F' F' M F' R' F M' F' R F' L'  (12sq) 
x2 L' L' R' M' F R' F M' F' R F' L'  (12sq) 
x2 L' R' R' D L' M' F M' F' R F' L'  (12sq) 
