x2 M' U' U' M U M' U' M' U M U M'  (12sq) 
D' L' L' R' R' M U' M' U M U M'  (12sq) 
D' M' D' L' L' R' R' M U M U M'  (12sq) 
x2 R B' M' B M' M' B M' B' R' M' M'  (12sq) 
x2 R B M' M' B M B' M B' R' M' M'  (12sq) 
x2 R' F' M F' M F M' M' F R M' M'  (12sq) 
x2 R' M F' M' F' M' F M F R M' M'  (12sq) 
x2 B L B M' U' M U B' L' B' M' M'  (12sq) 
x2 M B L B' U M' U' B L' B' M' M'  (12sq) 
x2 M U B' R B M' B' R' B U' M' M'  (12sq) 
x2 M F M' U' F M' F' U M F' M' M'  (12sq) 
x2 M F' M' U' F' M' F U M F M' M'  (12sq) 
x2 U' M' M' U B L' B M' B' L B' M  (12sq) 
D' M' D' M' D M D L' L' R' R' M  (12sq) 
L' D' M' D' M' D M D L' R' R' M  (12sq) 
L' L' D' M' D' M' D M D R' R' M  (12sq) 
x2 M' U B M U M' M' U' M' B' U' M  (12sq) 
x2 M' U B' M U M' M' U' M' B U' M  (12sq) 
x2 M U' M' U M U' M U' M' U' U' M  (12sq) 
x2 M' U M U M' U' M' U M' U' U' M  (12sq) 
x2 M U M' F M' U M U' M F' U' M  (12sq) 
x2 M U M' F' M' U M U' M F U' M  (12sq) 
M' D M D L' L' R' R' U' M' U' M  (12sq) 
x2 U' U' M' U' M U M' M' U' M' U' M  (12sq) 
x2 U M' U M' U' M' U M U' M' U' M  (12sq) 
M D' M' D L' L' R' R' U M' U' M  (12sq) 
x2 B M U' M' U M' B' M' U M' U' M  (12sq) 
x2 B' M U' M' U M' B M' U M' U' M  (12sq) 
x2 U' M U M U' M U M' U M' U' M  (12sq) 
x2 U' U' M U M' U M' M' U M' U' M  (12sq) 
M D L' L' R' R' U M U' M U' M  (12sq) 
x2 U' U' M U' M' M' U M U' M U' M  (12sq) 
x2 F R' M D F M F' D' R M' F' M  (12sq) 
x2 L M' U M U M' M' U' M' U' L' M  (12sq) 
x2 L M U' M' U M' M' U M' U' L' M  (12sq) 
x2 L M U M' M' U M U' M U' L' M  (12sq) 
x2 L F L' F U M U' F' L F' L' M  (12sq) 
x2 L' M' U M U M' M' U' M' U' L M  (12sq) 
x2 L' M U' M' U M' M' U M' U' L M  (12sq) 
x2 L' M U M' M' U M U' M U' L M  (12sq) 
x2 L' F L' F U M U' F' L F' L M  (12sq) 
x F' D L' M' F' M' F R F' U' M' U' U'  (13sq) 
x' B' U R' U' M' U L M F' U' M' U' U'  (13sq) 
x F' D' R M' F M' F' L' F U' M' U' U'  (13sq) 
x' B' U' L U M' U' R' M F U' M' U' U'  (13sq) 
x' M' B L B' U M B' M' B U' B R' U'  (13sq) 
x M F R M U M U' M U' M U L' U'  (13sq) 
x L' F' M' M' F R U L' U M' U' L U'  (13sq) 
x' M B R' M' U M U' M U' M U L U'  (13sq) 
x' B R' M D B' D M' M' D' B D' L U'  (13sq) 
x' B R' M D' B' D' M' M' D B D L U'  (13sq) 
x F L' B U' B M' M' B' U B' R M' U'  (13sq) 
x F L' B' U' B' M' M' B U B R M' U'  (13sq) 
x' M' B' L M U' L' B M' B' L U R' U  (13sq) 
x' M' B' R B' R' M B M' B' L U R' U  (13sq) 
x M' F' R F' L' U M' U' R M' U R' U  (13sq) 
x F' L' M' D F' D' M' M' D F D' R U  (13sq) 
x F' L' M' D' F' D M' M' D' F D R U  (13sq) 
x' B' U L' M' B' L' L' R' R' F R F' U  (13sq) 
x D' L' F L F' D F' L' M F R F' U  (13sq) 
x F' D R' D' M' M' D L' R' R' M' F' U  (13sq) 
x F' D R' D' L' L' R' R' U L M F' U  (13sq) 
x F' D' M' F' M' F R F M' F' L' F U  (13sq) 
x M D L' F M' F' R F' U' F' M F U  (13sq) 
x' B' L' L' R' U' M' U M U M' U' L' U  (13sq) 
x F' R M' M' U' M' U M U M' U' L' U  (13sq) 
x F' R M' F R' F' M' M' F R F' L' U  (13sq) 
x F' L D L' M' F' M' M' F R F' L' U  (13sq) 
x' B' L U R' U' M' M' U L M F' L' U  (13sq) 
x' B' L' R' U' M' U M U M' U' L' L' U  (13sq) 
x' B' R' U' B' U' M' U M B M' U L U  (13sq) 
x' B' R' M F R' F' M' M' F R F' L U  (13sq) 
x F' L' D L' M' F' M' M' F R F' L U  (13sq) 
x' B' L' U R' U' M' M' U L M F' L U  (13sq) 
x F' L' M' F' M' F M F M' F' R M' U  (13sq) 
x F' L' D R' D' M' M' D R D' R M' U  (13sq) 
x M' F' R F' L' U M' U' L F L' M' U  (13sq) 
x' L F' L F' M F L' F R' U' M' M' U  (13sq) 
x M' D' R M' F' M F L' F U' M' M' U  (13sq) 
x' M' U' L U' M U R' M F U' M' M' U  (13sq) 
x' B' L M' B' M' B M B M' B' R' M U  (13sq) 
x' B' L U R' U' M' M' U R U' R' M U  (13sq) 
x' L B' R' U' M' M' U R B R' U' M U  (13sq) 
