z U2 B2 F' S2 U S M' U' M B' R2  (11s) 
x2 R2 M2 B S' U S M' U' M B' R2  (11s) 
y' x' D2 R D' U2 E' S M' U' M B' R2  (11s) 
z x2 D2 B D2 U' E2 S M' U' M B' R2  (11s) 
y' x' U2 E2 L D E S M' U' M B' R2  (11s) 
y B2 R M' D E S M' U' M B' R2  (11s) 
y' x' U2 L D S2 E S' M' U' M B' R2  (11s) 
z x2 U2 F U S' M S2 M2 U' M B' R2  (11s) 
y' x' U2 L D M S E M2 U' M B' R2  (11s) 
z' D2 F U S' M2 S2 M U' M B' R2  (11s) 
z x2 U2 F D' U2 S M D U2 M B' R2  (11s) 
z' U2 B D E2 S M D U2 M B' R2  (11s) 
y' x' U2 L U E S M D U2 M B' R2  (11s) 
z' U2 B U S' E2 M D2 U M B' R2  (11s) 
z x2 U2 F D M2 S M S2 D' M B' R2  (11s) 
z x2 D2 B D' U2 S' E2 M' D' M B' R2  (11s) 
z' D2 F D E2 S' E2 M' D' M B' R2  (11s) 
y' x' D2 R U E S' E2 M' D' M B' R2  (11s) 
x2 R2 S' M2 B D S' M' D' M B' R2  (11s) 
z x2 U2 E2 F D M2 S' M D' M B' R2  (11s) 
L2 B S' D M2 S' M D' M B' R2  (11s) 
y' x' D2 R U E' M2 S' M D' M B' R2  (11s) 
y x U2 R U M2 E' S' M D' M B' R2  (11s) 
z' D2 F D S2 M2 S M D' M B' R2  (11s) 
y x U2 R D' U2 M' S U' E' M B' R2  (11s) 
y' x' U2 L D E2 M' S U' E' M B' R2  (11s) 
z x2 U2 F U E M' S U' E' M B' R2  (11s) 
y x U2 R U M S' M2 D' E' M B' R2  (11s) 
y x U2 E2 R U M' S' D' E' M B' R2  (11s) 
y' F2 L M U M' S' D' E' M B' R2  (11s) 
z' D2 F D E M' S' D' E' M B' R2  (11s) 
z x2 U2 F U S E2 M' U' E2 M B' R2  (11s) 
z x2 D2 B U S' M D2 U E2 M B' R2  (11s) 
z' U2 B D' U2 S' M' D' E2 M B' R2  (11s) 
z x2 U2 F D E2 S' M' D' E2 M B' R2  (11s) 
y x U2 R U E S' M' D' E2 M B' R2  (11s) 
y x D2 L D S2 M' S' U' E M B' R2  (11s) 
y x D2 L U M S D U2 E M B' R2  (11s) 
y x U2 R U M' E2 S' D' E M B' R2  (11s) 
x2 S R2 B' M2 D' M2 D S' M2 B R2  (11s) 
z x2 S U2 M2 F L' S2 L B' M2 E2 R2  (11s) 
x2 R2 F R S E R' S2 E' F' S R2  (11s) 
z2 R2 F L S E' L' E B2 F S R2  (11s) 
z' D2 F U M' S U' S' M B' S R2  (11s) 
z x2 U2 F D M' S' D' S' M B' S R2  (11s) 
y M' B2 R' E M2 D M2 U' B S R2  (11s) 
x2 S' R2 B' U2 S2 U' M2 U' B S R2  (11s) 
z2 M2 S' R2 F2 B U M2 U' B S R2  (11s) 
z S' U2 S E2 F' U M2 U' B S R2  (11s) 
M2 S' L2 B' S2 U M2 U' B S R2  (11s) 
z E2 S' U2 F' S U M2 U' B S R2  (11s) 
y2 S L2 M2 B F2 D S2 D' B S R2  (11s) 
x2 S R2 S2 M2 B' D S2 D' B S R2  (11s) 
y2 S L2 F2 M2 B D S2 D' B S R2  (11s) 
