x2 F' B2 M' B2 M2 F R' F' M' F R M2  (12s) 
x D' M2 D2 M' D' L' M' F' M' F R M2  (12s) 
x2 F M B2 M2 F' R' F M F' R B2 M2  (12s) 
x2 F' M2 B2 M F R' F M F' R B2 M2  (12s) 
x' L B' M B R B' M2 B2 M' B' R2 M  (12s) 
x D' M2 D2 M' D' R' D' M' D L' R2 M  (12s) 
x' B' M B R B' M2 B2 M' B' L R2 M  (12s) 
x L' D' M2 D2 M' D' R' D' M' D R2 M  (12s) 
x' B2 U B' M B U' B' L U' M2 U R' U'  (13s) 
x2 F U M U' F' U R M' U' M2 U R' U'  (13s) 
x' U B M U2 L F U' F' U M2 U R' U'  (13s) 
x' M2 B L U' M2 U B2 U M' U' B2 R' U'  (13s) 
x' B R B U2 B' M B U2 M2 B' L R2 U'  (13s) 
x2 U R B' M B R B' M2 B2 M' B' R2 U'  (13s) 
x2 M' U' M2 U2 F M' U2 M' U' M' U' F' U'  (13s) 
x2 M' U' M2 U2 F' M' F2 M' U M' U' F' U'  (13s) 
x2 M U M' F2 M F' U' M' U2 M2 U' F' U'  (13s) 
x2 M' U' M' U2 M' F U' M' U2 M2 U' F' U'  (13s) 
x2 M' U M' F2 M F' U' M2 U2 M U' F' U'  (13s) 
x2 M U' M' U2 M' F U' M2 U2 M U' F' U'  (13s) 
x2 M' U' M2 U2 F' M' F2 M' U' M' U F' U'  (13s) 
x2 M' U' M2 U2 F M' U2 M' U M' U F' U'  (13s) 
x2 M U M' F2 M F' U M' U2 M2 U F' U'  (13s) 
x2 M' U' M' U2 M' F U M' U2 M2 U F' U'  (13s) 
x2 M' U M' F2 M F' U M2 U2 M U F' U'  (13s) 
x2 M U' M' U2 M' F U M2 U2 M U F' U'  (13s) 
x2 U F D2 F M2 F2 M F D2 F M' F2 U'  (13s) 
x2 F M' U2 M' U' M' U' F' U F2 M F2 U'  (13s) 
x2 F' M' F2 M' U M' U' F' U F2 M F2 U'  (13s) 
x2 U D2 M' D' F' D' M D2 M2 D' F D' U'  (13s) 
x2 U' M D U2 F' D M2 D2 M' D F D' U'  (13s) 
x2 D2 F U M2 F2 R F U' F' U2 R' D2 U'  (13s) 
x2 D2 F U M2 F2 M F2 U' F' U M' D2 U'  (13s) 
x2 D2 F U B2 M B2 M2 U' F' U M' D2 U'  (13s) 
