F U M2 U2 M U F' U M U'  (10s*) 
F U F2 U2 M U2 F2 M2 U' F' U M U'  (13s) 
F U R D2 M D2 R' M2 U' F' U M U'  (13s) 
F U R2 D2 M D2 R2 M2 U' F' U M U'  (13s) 
F U R' D2 M D2 R M2 U' F' U M U'  (13s) 
F U B2 U2 M U2 B2 M2 U' F' U M U'  (13s) 
F U L D2 M D2 L' M2 U' F' U M U'  (13s) 
F U L2 D2 M D2 L2 M2 U' F' U M U'  (13s) 
F U L' D2 M D2 L M2 U' F' U M U'  (13s) 
B2 M2 F B2 U' M' U2 M2 U' F' U M U'  (13s) 
M' F2 M' F' U' M' U2 M2 U' F' U M U'  (13s) 
M F2 M F' U' M' U2 M2 U' F' U M U'  (13s) 
D2 M2 D2 F U' M' U2 M2 U' F' U M U'  (13s) 
U2 M2 U2 F U' M' U2 M2 U' F' U M U'  (13s) 
x' D F L' B2 M B2 R M U' F' U M U'  (13s) 
F U' B2 M' B2 M' U2 M U' F' U M U'  (13s) 
x' D F R B2 M B2 L' M U' F' U M U'  (13s) 
M2 F U M F2 M' F2 M U' F' U M U'  (13s) 
x' D F' L' R2 B2 M2 B2 R' U F' U M U'  (13s) 
x U B' L M2 B2 M2 B2 R' U F' U M U'  (13s) 
F U' R M B2 M2 B2 R' U F' U M U'  (13s) 
x M2 U B' L U2 M2 U2 R' U F' U M U'  (13s) 
x' D F' L' R2 F2 M2 F2 R' U F' U M U'  (13s) 
x U B' L M2 F2 M2 F2 R' U F' U M U'  (13s) 
F U' R M F2 M2 F2 R' U F' U M U'  (13s) 
x' D F' R2 B2 M2 B2 L' R' U F' U M U'  (13s) 
x' D F' R2 F2 M2 F2 L' R' U F' U M U'  (13s) 
x M2 U B' L D2 M2 D2 R' U F' U M U'  (13s) 
x' D F' L' R' B2 M2 B2 R2 U F' U M U'  (13s) 
x2 B D' L2 M' B2 M2 B2 R2 U F' U M U'  (13s) 
F U' R2 M B2 M2 B2 R2 U F' U M U'  (13s) 
x' D F' L' R' F2 M2 F2 R2 U F' U M U'  (13s) 
x2 B D' L2 M' F2 M2 F2 R2 U F' U M U'  (13s) 
F U' R2 M F2 M2 F2 R2 U F' U M U'  (13s) 
x' D F' R' B2 M2 B2 L' R2 U F' U M U'  (13s) 
x' D F' R' F2 M2 F2 L' R2 U F' U M U'  (13s) 
F U' R' M B2 M2 B2 R U F' U M U'  (13s) 
F U' R' M F2 M2 F2 R U F' U M U'  (13s) 
x' D F' L B2 M2 B2 L2 R U F' U M U'  (13s) 
x' D F' L F2 M2 F2 L2 R U F' U M U'  (13s) 
x' D F' L2 B2 M2 B2 L R U F' U M U'  (13s) 
x' D F' L2 F2 M2 F2 L R U F' U M U'  (13s) 
F U M' U2 M F2 M' F2 U F' U M U'  (13s) 
F U M U2 M F2 M F2 U F' U M U'  (13s) 
F U' L M B2 M2 B2 L' U F' U M U'  (13s) 
F U' L M F2 M2 F2 L' U F' U M U'  (13s) 
x' D F' L R B2 M2 B2 L2 U F' U M U'  (13s) 
x2 B D' R2 M' B2 M2 B2 L2 U F' U M U'  (13s) 
F U' L2 M B2 M2 B2 L2 U F' U M U'  (13s) 
x' D F' L R F2 M2 F2 L2 U F' U M U'  (13s) 
x2 B D' R2 M' F2 M2 F2 L2 U F' U M U'  (13s) 
F U' L2 M F2 M2 F2 L2 U F' U M U'  (13s) 
